Unnamed: 0,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
0,gwengwenn,132,851,TRUE,6.446969697,9
1,huimin_c,365,439,TRUE,1.202739726,23
2,agent_g07,26,755,TRUE,29.03846154,200
3,agnestankimpheng,84,583,FALSE,6.94047619,7
4,umareumm,3900,464,TRUE,0.118974359,87
5,starlightsglaxing,9,513,TRUE,57,39
6,shangkariselvarajah,359,376,TRUE,1.04735376,9
7,gazellemum,116,2196,TRUE,18.93103448,0
8,zima_loves_bunnies,341,1585,TRUE,4.648093842,135
9,wolf_katazyna,1481,5607,TRUE,3.785955436,614
10,_cara_tan_,280,553,TRUE,1.975,5
11,ekitty27,96,175,FALSE,1.822916667,58
12,pohjaslin,535,454,FALSE,0.848598131,777
13,bloatofhippos,218,344,FALSE,1.577981651,106
14,simplyprincessy,289,2686,TRUE,9.294117647,1946
15,inez_xb,21,70,TRUE,3.333333333,3
16,blushwax,224,2302,TRUE,10.27678571,2010
17,eileen.symrise,131,61,FALSE,0.465648855,1
18,yemafrnndz,1038,677,FALSE,0.6522158,10
19,gwengwenn,132,851,TRUE,6.446969697,9
20,huimin_c,365,439,TRUE,1.202739726,23
20,zima_loves_bunnies,341,1585,TRUE,4.648093842,135
21,wolf_katazyna,1482,5607,TRUE,3.78340081,614
22,_cara_tan_,280,553,TRUE,1.975,5
23,ekitty27,96,175,FALSE,1.822916667,58
24,pohjaslin,535,454,FALSE,0.848598131,777
25,bloatofhippos,218,344,FALSE,1.577981651,106
26,simplyprincessy,289,2686,TRUE,9.294117647,1946
27,inez_xb,21,70,TRUE,3.333333333,3
28,blushwax,224,2302,TRUE,10.27678571,2010
29,eileen.symrise,131,61,FALSE,0.465648855,1
30,yemafrnndz,1038,677,FALSE,0.6522158,10
31,unconsciousss,1249,778,TRUE,0.622898319,661
32,_cassandra_ong,255,331,TRUE,1.298039216,43
33,rebeccasayz,489,789,TRUE,1.613496933,208
34,jacelynye,355,961,TRUE,2.707042254,1188
35,purplexedly,29,162,TRUE,5.586206897,156
36,daisywailing,287,959,TRUE,3.341463415,1651
37,chingyouuu,516,950,FALSE,1.841085271,53
38,inezcaroline,219,378,TRUE,1.726027397,1702
39,shazzaelicious,646,2182,TRUE,3.377708978,1597
40,clumsydummy,624,763,TRUE,1.22275641,893
41,sleepyju,318,1674,TRUE,5.264150943,38
42,kikicaniago12,1407,6602,TRUE,4.692253021,94
43,kueh_ambon,38,73,TRUE,1.921052632,40
44,jasmineanggm,322,266,FALSE,0.826086957,51
45,moonriver.crystals,29,264,FALSE,9.103448276,2
46,vyeo17,98,203,FALSE,2.071428571,31
47,pinkky0101,0,85,TRUE,85,0
48,shoorahh,710,806,TRUE,1.135211268,202
49,museofmagick,1343,845,FALSE,0.629188384,136
50,ispywithmybeadyeyes,228,395,FALSE,1.73245614,46
51,holaivyy,92,71,FALSE,0.77173913,17
52,jxbeanie,258,264,TRUE,1.023255814,8
53,farihahzainal,1456,2796,TRUE,1.92032967,335
54,tayberryjane,275,492,TRUE,1.789090909,74
55,zhn777,59,112,TRUE,1.898305085,377
56,cindinglala,175,1327,TRUE,7.582857143,4793
57,a_kakito,82,242,TRUE,2.951219512,0
58,rachelbartee,68,119,FALSE,1.75,99
59,malar21,905,7098,FALSE,7.843093923,668
60,wanjing23,6145,2596,TRUE,0.422457282,8
61,_masiira.adam,6145,2596,TRUE,0.422457282,8
62,karismasanjaykumar,479,569,TRUE,1.187891441,56
63,aestheticsinsg,142,2674,TRUE,18.83098592,3
64,_immessh,702,1419,TRUE,2.021367521,79
65,hui_bing,441,1268,FALSE,2.875283447,148
66,lowkeylowprofile,0,1245,TRUE,1245,0
67,lynnkoh05,96,199,TRUE,2.072916667,413
68,riz_san_22,295,365,TRUE,1.237288136,225
69,foxxymonstrr,766,2185,TRUE,2.852480418,228
70,mystique79sg,140,294,TRUE,2.1,122
71,barleyyan77,145,477,TRUE,3.289655172,166
72,blushchic,8,1309,TRUE,163.625,2
73,xrische,172,978,TRUE,5.686046512,493
74,thesunnyflower,346,669,TRUE,1.933526012,605
75,peiiiwennn,122,175,TRUE,1.43442623,24
76,ainaasamxd_,1249,598,TRUE,0.478783026,192
77,nyh_charlotte,13,252,TRUE,19.38461538,65
78,pikajumbo,46,84,TRUE,1.826086957,0
79,21eileenchin,383,1096,TRUE,2.861618799,779
80,silkyjan,199,133,FALSE,0.668341709,231
81,semieong,238,697,TRUE,2.928571429,565
82,ilovebrowniethecat,92,1592,TRUE,17.30434783,27
83,_evelynious,381,1024,TRUE,2.687664042,235
84,nuryati78,427,2079,TRUE,4.868852459,623
85,jasline.yet,71,96,TRUE,1.352112676,4
86,iamdclf,19,328,TRUE,17.26315789,51
87,gracelaurel.tang,311,244,FALSE,0.784565916,182
88,shen_ying_ying,1253,674,TRUE,0.537909018,61
89,carol2u,44,150,TRUE,3.409090909,133
90,zoobaacaa,86,246,FALSE,2.860465116,1
91,ein_aloe_vera,99,1607,TRUE,16.23232323,35
92,mpchua,253,1296,TRUE,5.122529644,176
93,jesstham77,47,522,TRUE,11.10638298,414
94,one3one4,195,3302,TRUE,16.93333333,976
95,cheryl_weixuan,1172,1998,FALSE,1.704778157,1356
96,ndayah.92,983,5452,TRUE,5.546286877,230
97,cynx.c,195,703,TRUE,3.605128205,64
98,little3kiwi,120,448,TRUE,3.733333333,30
99,lynn_nanami,77,189,FALSE,2.454545455,2
100,ytmwongg,220,252,TRUE,1.145454545,91
101,iamzaiothman,372,528,TRUE,1.419354839,6593
102,mscheryly,211,487,TRUE,2.308056872,1341
103,joycetang0607,40,149,FALSE,3.725,3
104,lunaaa.1104,220,256,TRUE,1.163636364,0
105,kallistaeleena,515,582,TRUE,1.130097087,478
106,kailian,58,177,TRUE,3.051724138,222
107,magisk101,370,3368,TRUE,9.102702703,96
108,yvonnesoh9,28,30,FALSE,1.071428571,11
109,journeying_with_you,50,998,FALSE,19.96,3
110,asvingill,160,578,TRUE,3.6125,133
111,lavande.dust,79,678,TRUE,8.582278481,2356
112,tumuculus,4,826,TRUE,206.5,636
113,kmicco_class,14,42,FALSE,3,9
114,joannehbu,58,2292,TRUE,39.51724138,4279
115,spookzzz,47,711,TRUE,15.12765957,805
116,qeyy.key,203,1559,TRUE,7.679802956,64
117,mspiggy6777,12,4239,TRUE,353.25,168
118,guanxian_leow,147,677,FALSE,4.605442177,125
119,03rby,30,250,TRUE,8.333333333,110
120,js.lovesmatcha,411,820,FALSE,1.99513382,1834
