,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
3000,haleyxxi,234,495,TRUE,2.115384615,139
3001,summerwinty,0,35,TRUE,35,28
3002,moomoo_hl,329,2892,TRUE,8.790273556,0
3003,petrieperrie,99,362,TRUE,3.656565657,666
3004,camilleiora,1211,1610,FALSE,1.329479769,928
3005,wxnana.72,703,835,TRUE,1.187766714,21
3006,janetwonght,470,954,TRUE,2.029787234,152
3007,kellytan4401,69,190,FALSE,2.753623188,1
3008,polkadotslove,172,1735,TRUE,10.0872093,765
3009,xayyyy,349,920,TRUE,2.636103152,445
3010,ngwnxn,975,1101,FALSE,1.129230769,108
3011,chitzrar,192,1293,TRUE,6.734375,3707
3012,leesizhenggg,320,351,TRUE,1.096875,19
3013,kel.yj.wong,589,396,TRUE,0.672325976,136
3014,cherylkyu,293,643,TRUE,2.194539249,209
3015,theclumsyclam,4,20,TRUE,5,101
3016,ignixiate,755,1033,TRUE,1.368211921,421
3017,qeysversace,1907,2324,TRUE,1.218668065,1750
3018,jazz_lim_00,80,919,TRUE,11.4875,1
3019,_ahlian,469,200,FALSE,0.426439232,428
3020,hy_cq_zs_yx,89,74,FALSE,0.831460674,2
3021,ayumiaoxxx,113,492,FALSE,4.353982301,848
3022,sjjshijiajia,224,966,TRUE,4.3125,59
3023,25.9.98,0,104,TRUE,104,1298
3024,jenniferlrj,189,317,TRUE,1.677248677,87
3025,shasha.shaz,247,514,TRUE,2.08097166,24
3026,merlene_z,98,1169,TRUE,11.92857143,103
3027,imblessed925,0,13,TRUE,13,1
3028,wenhan1081,13,87,TRUE,6.692307692,0
3029,nandarcheah,219,434,TRUE,1.98173516,695
3030,jenniferlim8633,53,99,FALSE,1.867924528,0
3031,chervaluesyou,838,1590,FALSE,1.897374702,1695
3032,txl2,100,689,TRUE,6.89,3490
3033,lasslindapardi,226,991,TRUE,4.384955752,202
3034,claudiatan70,15,425,TRUE,28.33333333,0
3035,yasirahfarvin,45,172,TRUE,3.822222222,5
3036,jiasian_,927,1537,TRUE,1.658036677,104
3037,crystal_shuijingpifa88,304,1902,FALSE,6.256578947,102
3038,xfiyonnax,474,842,TRUE,1.776371308,234
3039,jiathepanda,276,467,TRUE,1.692028986,0
3040,kimmeih,966,595,FALSE,0.615942029,30
3041,ssiiyu,3751,746,FALSE,0.198880299,9
3042,cassiecoolhappy,179,207,TRUE,1.156424581,0
3043,mehran_khan_695,1847,7464,FALSE,4.041147807,388
3044,jesslynsim,689,558,TRUE,0.809869376,359
3045,yiyunx3,389,988,TRUE,2.539845758,1208
3046,qingqing_86,699,1277,TRUE,1.826895565,1295
3047,crystals__treasure,3858,5897,FALSE,1.528512182,1536
3048,zericrysttal,1270,6975,FALSE,5.492125984,2010
3049,ox_maggie,376,700,TRUE,1.861702128,350
3050,w.o.n.d.e.r_wall,376,700,TRUE,1.861702128,350
3051,xyzingly,0,391,TRUE,391,0
3052,jelliebeani3,134,518,TRUE,3.865671642,529
3053,mandyng69,94,91,FALSE,0.968085106,8
3054,aliciahomh,247,1610,TRUE,6.518218623,126
3055,azizah_noorman,491,1042,TRUE,2.122199593,1137
3056,cheryllim71,0,225,TRUE,225,0
3057,abyceeeed,51,1026,TRUE,20.11764706,0
3058,jor33n_s,331,888,TRUE,2.682779456,3893
3059,candygohh,269,119,TRUE,0.442379182,310
3060,zgnilezs,818,1274,TRUE,1.557457213,1445
3061,ireneyeye19,372,761,FALSE,2.045698925,1485
3062,unicorn_sashaesha,332,5102,TRUE,15.36746988,2765
3063,pamngyl,64,176,TRUE,2.75,748
3064,sweetsandwrappers,454,331,FALSE,0.72907489,59
3065,sailesh10,464,6484,TRUE,13.97413793,117
3066,meltingpixels,260,884,TRUE,3.4,1231
3067,mich.4ever,152,551,TRUE,3.625,22
3068,3vv3,233,1266,TRUE,5.433476395,1275
3069,lynnda_bunnies,340,708,TRUE,2.082352941,1130
3070,idiawaty,158,411,TRUE,2.601265823,167
3071,lucerne_uzui,164,490,TRUE,2.987804878,1819
3072,fallen_angel29,214,647,TRUE,3.023364486,290
3073,lily10092021,36,434,FALSE,12.05555556,0
3074,lovesv_,355,326,TRUE,0.918309859,942
3075,winnie.oh.3,35,46,TRUE,1.314285714,1
3076,jieningtey,245,641,TRUE,2.616326531,46
3077,veron_hel90,211,951,TRUE,4.507109005,221
3078,light.within.gems,1121,496,FALSE,0.442462087,76
3079,ysal_leu,33,380,TRUE,11.51515152,0
3080,printernpaper_562,0,737,TRUE,737,0
3081,radiah78,773,1698,FALSE,2.196636481,3344
3082,yanling_yl,40,196,TRUE,4.9,1902
3083,wiemarjuni,78,628,TRUE,8.051282051,285
3084,shazwani.shazasg,1374,1009,FALSE,0.734352256,1310
3085,wendybooooooo,41,1886,TRUE,46,265
3086,crystanial,65,64,FALSE,0.984615385,37
3087,redfantasy007,153,452,FALSE,2.954248366,0
3088,deekahlenberg,233,820,TRUE,3.519313305,1472
3089,dandexlion,192,373,TRUE,1.942708333,46
3090,valerie.sim,83,198,TRUE,2.385542169,4
3091,khelinhoo_,1653,1010,FALSE,0.611010284,14
3092,maxinetam,195,137,FALSE,0.702564103,6
3093,fina5344,211,359,TRUE,1.701421801,185
3094,crystals_himalayan,183,283,FALSE,1.546448087,38
3095,innosence,106,768,TRUE,7.245283019,88
