Unnamed: 0,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts,possible_candidate
20,zima_loves_bunnies,341,1585,True,4.648093841642229,135,No
21,wolf_katazyna,1482,5607,True,3.783400809716599,614,No
22,_cara_tan_,280,553,True,1.975,5,No
23,ekitty27,96,175,False,1.8229166666666667,58,No
24,pohjaslin,535,454,False,0.8485981308411215,777,No
25,bloatofhippos,218,344,False,1.5779816513761469,106,No
26,simplyprincessy,289,2686,True,9.294117647058824,1946,No
27,inez_xb,21,70,True,3.333333333333333,3,No
28,blushwax,224,2302,True,10.276785714285714,2010,No
29,eileen.symrise,131,61,False,0.465648854961832,1,No
30,yemafrnndz,1038,677,False,0.6522157996146436,10,No
31,unconsciousss,1249,778,True,0.622898318654924,661,No
32,_cassandra_ong,255,331,True,1.2980392156862746,43,No
33,rebeccasayz,489,789,True,1.6134969325153374,208,No
34,jacelynye,355,961,True,2.7070422535211267,1188,No
35,purplexedly,29,162,True,5.586206896551724,156,No
36,daisywailing,287,959,True,3.341463414634146,1651,No
37,chingyouuu,516,950,False,1.8410852713178292,53,No
38,inezcaroline,219,378,True,1.726027397260274,1702,No
39,shazzaelicious,646,2182,True,3.3777089783281733,1597,No
40,clumsydummy,624,763,True,1.2227564102564104,893,No
41,sleepyju,318,1674,True,5.264150943396227,38,No
42,kikicaniago12,1407,6602,True,4.692253020611229,94,No
43,kueh_ambon,38,73,True,1.9210526315789476,40,No
44,jasmineanggm,322,266,False,0.8260869565217391,51,No
45,moonriver.crystals,29,264,False,9.10344827586207,2,No
46,vyeo17,98,203,False,2.071428571428572,31,No
47,pinkky0101,0,85,True,85.0,0,No
48,shoorahh,710,806,True,1.1352112676056338,202,No
49,museofmagick,1343,845,False,0.6291883842144452,136,No
50,ispywithmybeadyeyes,228,395,False,1.7324561403508771,46,No
51,holaivyy,92,71,False,0.7717391304347826,17,No
52,jxbeanie,258,264,True,1.0232558139534884,8,No
53,farihahzainal,1456,2796,True,1.9203296703296704,335,No
54,tayberryjane,275,492,True,1.789090909090909,74,No
55,zhn777,59,112,True,1.8983050847457628,377,No
56,cindinglala,175,1327,True,7.582857142857143,4793,No
57,a_kakito,82,242,True,2.951219512195122,0,No
58,rachelbartee,68,119,False,1.75,99,No
59,malar21,905,7098,False,7.843093922651934,668,No
60,wanjing23,6145,2596,True,0.4224572823433686,8,No
61,_masiira.adam,6145,2596,True,0.4224572823433686,8,No
62,karismasanjaykumar,479,569,True,1.187891440501044,56,No
63,aestheticsinsg,142,2674,True,18.83098591549296,3,No
64,_immessh,702,1419,True,2.0213675213675213,79,No
65,hui_bing,441,1268,False,2.875283446712018,148,No
66,lowkeylowprofile,0,1245,True,1245.0,0,No
67,lynnkoh05,96,199,True,2.0729166666666665,413,No
