Day of Week,Hour,comments,likes
Thursday,09,4.0,208.0
Tuesday,11,16.0,197.5
Tuesday,08,11.0,159.0
Saturday,23,11.625,156.25
Thursday,17,19.333333333333332,149.66666666666666
Thursday,19,23.0,143.33333333333334
Tuesday,16,9.0,142.3
Wednesday,10,7.0,137.0
Saturday,11,2.75,132.75
Tuesday,20,5.25,131.25
Wednesday,09,4.0,130.0
Tuesday,21,4.25,123.75
Monday,22,2.0,121.0
Sunday,11,6.0,116.0
Sunday,22,2.3333333333333335,115.33333333333333
Wednesday,15,5.4,115.0
Thursday,20,3.0,114.66666666666667
Wednesday,17,2.25,113.5
Friday,12,6.5,111.0
Monday,17,3.2222222222222223,110.66666666666667
Sunday,19,4.6,107.0
Monday,12,3.0,106.0
Sunday,14,1.6666666666666667,101.66666666666667
Saturday,10,5.75,101.25
Sunday,20,2.6666666666666665,99.0
Friday,22,1.6666666666666667,94.33333333333333
Wednesday,13,2.0,92.0
Wednesday,23,2.5,91.75
Monday,21,4.0,91.14285714285714
Wednesday,18,3.6666666666666665,89.33333333333333
Sunday,18,0.7777777777777778,88.55555555555556
Monday,13,2.8,88.0
Friday,13,2.5,87.75
Tuesday,12,3.0,81.0
Saturday,07,0.0,81.0
Monday,20,4.428571428571429,80.85714285714286
Thursday,11,4.0,79.83333333333333
Saturday,17,1.3333333333333333,79.0
Monday,10,2.25,78.5
Monday,18,2.5,78.0
Saturday,18,2.4,76.7
Tuesday,22,4.333333333333333,76.66666666666667
Wednesday,21,2.642857142857143,75.85714285714286
Friday,14,1.0,75.6
Saturday,22,3.4,75.45
Wednesday,22,11.0,75.0
Monday,15,2.0,74.85714285714286
Sunday,09,0.0,74.5
Monday,16,0.0,74.5
Friday,15,2.6875,73.875
Wednesday,20,4.166666666666667,73.0
Friday,11,1.25,73.0
Saturday,20,2.0588235294117645,72.58823529411765
Wednesday,14,3.5,72.25
Friday,17,2.125,71.375
Monday,08,1.0,71.0
Saturday,12,5.25,70.75
Sunday,15,0.5,69.5
Thursday,16,2.0,68.0
Monday,19,1.75,67.0
Wednesday,11,2.0,67.0
Saturday,14,2.0,66.66666666666667
Sunday,12,1.75,66.25
Thursday,21,27.0,66.2
Tuesday,10,3.0,66.0
Thursday,15,1.8,65.8
Saturday,16,2.7,65.5
Friday,20,2.1,65.4
Thursday,12,2.75,65.0
Wednesday,16,6.25,64.75
Tuesday,15,1.3333333333333333,63.333333333333336
Thursday,14,1.75,62.625
Sunday,17,1.2777777777777777,61.333333333333336
Friday,19,1.8666666666666667,60.53333333333333
Friday,21,4.0,58.54545454545455
Sunday,16,1.75,58.25
Friday,10,0.5,57.75
Thursday,22,1.75,57.25
Saturday,15,2.0588235294117645,55.76470588235294
Thursday,10,2.5,55.5
Tuesday,17,1.5,54.5
Saturday,13,0.0,53.0
Monday,11,44.75,52.75
Friday,16,3.0,52.285714285714285
Tuesday,14,2.5833333333333335,50.916666666666664
Friday,18,1.0,46.4
Saturday,21,1.2352941176470589,45.588235294117645
Saturday,19,1.173913043478261,44.869565217391305
Tuesday,18,0.0,44.666666666666664
Saturday,08,1.5,44.0
Sunday,13,1.5714285714285714,43.142857142857146
Saturday,09,0.0,42.0
Wednesday,12,1.0,38.285714285714285
Saturday,01,0.6666666666666666,33.55555555555556
Sunday,21,0.5,32.375
Friday,23,0.125,31.0
Saturday,00,0.2857142857142857,30.214285714285715
