,0
0,gwengwenn
1,huimin_c
2,agent_g07
3,agnestankimpheng
4,umareumm
5,starlightsglaxing
6,shangkariselvarajah
7,gazellemum
8,zima_loves_bunnies
9,wolf_katazyna
10,_cara_tan_
11,ekitty27
12,pohjaslin
13,bloatofhippos
14,simplyprincessy
15,inez_xb
16,blushwax
17,eileen.symrise
18,yemafrnndz
19,unconsciousss
20,_cassandra_ong
21,rebeccasayz
22,jacelynye
23,purplexedly
24,daisywailing
25,chingyouuu
26,inezcaroline
27,shazzaelicious
28,clumsydummy
29,sleepyju
30,kikicaniago12
31,kueh_ambon
32,jasmineanggm
33,moonriver.crystals
34,vyeo17
35,pinkky0101
36,shoorahh
37,museofmagick
38,ispywithmybeadyeyes
39,holaivyy
40,jxbeanie
41,farihahzainal
42,tayberryjane
43,zhn777
44,cindinglala
45,a_kakito
46,rachelbartee
47,malar21
48,wanjing23
49,_masiira.adam
50,karismasanjaykumar
51,aestheticsinsg
52,_immessh
53,hui_bing
54,lowkeylowprofile
55,lynnkoh05
56,riz_san_22
57,foxxymonstrr
58,mystique79sg
59,barleyyan77
60,blushchic
61,xrische
62,thesunnyflower
63,peiiiwennn
64,ainaasamxd_
65,nyh_charlotte
66,pikajumbo
67,21eileenchin
68,silkyjan
69,semieong
70,ilovebrowniethecat
71,_evelynious
72,nuryati78
73,jasline.yet
74,iamdclf
75,gracelaurel.tang
76,shen_ying_ying
77,carol2u
78,zoobaacaa
79,ein_aloe_vera
80,mpchua
81,jesstham77
82,one3one4
83,cheryl_weixuan
84,ndayah.92
85,cynx.c
86,little3kiwi
87,lynn_nanami
88,ytmwongg
89,iamzaiothman
90,mscheryly
91,joycetang0607
92,lunaaa.1104
93,kallistaeleena
94,kailian
95,magisk101
96,yvonnesoh9
97,journeying_with_you
98,asvingill
99,lavande.dust
100,tumuculus
101,kmicco_class
102,joannehbu
103,spookzzz
104,qeyy.key
105,mspiggy6777
106,guanxian_leow
107,03rby
108,js.lovesmatcha
109,cindyng1811
110,felipyon
111,xcashgolden
112,hic_1411
113,ila_nnnnn
114,pauline_tay1704
115,babyjuju
116,im_pokywoky
117,llylylyly
118,janetong2000
119,missyaffair
120,gladasylang
121,yasminzbd
122,reddyy89
123,hy0909
124,inatan3872
125,ireneloh80
126,nurulfatinas
127,lj_ooi100
128,ikin.croffisa
129,pigletlicious
130,jjjen16
131,pearllfy
132,shopaholicdreams
133,clarapp82
134,choice_minimalist
135,rachelsuyi
136,jayexong
137,niracrystal_wholesale
138,sharakader
139,9sxd9
140,imnotthatplainjane
141,thebigbiq
142,senoriessa
143,brigitte2622
144,superstardadada
145,eliiii_elephant
146,simbeehua
147,katcyy
148,wnd.123
149,h_m.traderr
150,steadynad
151,medusafreya
152,estariand
153,micheonggm
154,ginnywoo
155,ndh_.rh
156,jmieonders
157,babygabby
158,vnehta
159,rachellimerdinger
160,anaqilyanahairi
161,jmj1801
162,ahaneah
163,syl.vivi.anne
164,iamtitimasdollah
165,luwenagoh
166,eve_li8
167,mt.chua.7
168,suhailafnsm
169,annacxyy
170,maomaokat10
171,thinklikeagirl
172,magical_crystaland
173,jkln2218
174,totoro_secretgarden
175,gaonanie
176,viiviishinnn
177,angelus_en_noir
178,_xirahhh
179,strwbrrykiko
180,ireneong67
181,chxntxll
182,intoxicatedcaffeine
183,bubble._.bobble
184,deliaaaacjy
185,ckhayashi19
186,remixt
187,cheecheescheese
188,adrienechin
189,ykristabella
190,pohrebecca
191,lxntricia
192,marilynpang_40
193,dianatanhs
194,island_gemstore
195,annapoh.low
196,ets.elec
197,rosafeb22
198,bimi_le
199,dolp
200,ricks_nandwani
201,mineralsrocksshop2.0
202,askvifirst
203,linakwa
204,cassann55
205,wan.yeee
206,rogerina85
207,priscillakoo
208,miracle_of_crystal
209,gouwanne
210,be.the.light.crystals
211,11111_shasha
212,29.nnny
213,bethlim83
214,felichan
215,evon.lim.944
216,estherli545
217,babycoolkids.s
218,yuen_enn
219,margaretcsk
220,mistihearts_
221,babe_74
222,altheabriseis_iii
223,cherriesty
224,ssiewkee
225,apriltham
226,itsaddumb
227,kareenl_
228,aj_wiz21
229,simplicitywine
230,ichi.umai
231,ross3ll3
232,piggy_shan1102
233,alocasiabeauty
234,raczing
235,counting_elephant
236,ivyangcy
237,san3_8989
238,audisaaclarisse
239,tfjosephine
240,cubby_bie
241,joannengbl
242,cuterabbit72
243,seasonlee1010
244,mii__doreen__reen
245,leihoi
246,neshrella
247,tateandeden
248,priscillaindumathi
249,milkyice
250,enchantedencounterss
251,jnlyx
252,padina.irani79
253,aileenleesp
254,atikah_bahar
255,npeisze
256,meenzsweetz
257,nicole_cytan
258,nxrsafiah.sayf
259,michlgk71
260,shuwenlee
261,firdatum
262,andreashlynaiden
263,nicolebuttons
264,delunaxkitty
265,fiqahzam16
266,sheliatan
267,happykim12345
268,addiyenoh12
269,angelhnx1983
270,vivianang
271,our_bele_bella
272,zoelzk
273,avariellej
274,linn_eu
275,meyzhiiii
276,felicia_soon
277,tammieleeyh
278,tongvonne
279,enghong10
280,anna_reenn
281,kimmivalbergtan
282,sh3ryl_dreamer
283,kathykqw_
284,vietphan_
285,leliancheah
286,luckycrystalsx
287,gnimoos
288,vivienleeff
289,maybelng
290,celinejayzi
291,ruiwennie
292,ngyulie777
293,ringsandthethings
294,cloe._.c
295,joycelimml
296,wendylimmm77
297,xiushan33
298,inlmkha
299,moch4luv
300,naixswww
301,insanetlc
302,desireeewl
303,farahphillipskhan
304,vbajn_o
305,hamburgershiny
306,diary_crystal_tourmaline
307,angelialim_
308,djvchong
309,xslx123
310,gem_stones_33
311,pinkuyuki
312,neelieool
313,dragonfumo
314,mabel194
315,niya.craft.crystal
316,123456789jjlim
317,emmychels
318,qwehearts
319,hazely
320,zestafest
321,daisy.andsunny
322,xmelmel
323,clarabeelengg
324,peasantfood.my
325,ellure_lindy
326,yandao.hui
327,g.jiayi_
328,miss.harsono
329,tiffanysou315
330,mannie08
331,carrielicious_qiqi
332,pixiuchambersg
333,elithialucas
334,junnywenny
335,factory1wholesale
336,yxhxm__
337,sitizuraidah_mdlatiff
338,jerynyjq
339,ecosway.rockingham
340,crystalina_73
341,adella_namakulala
342,trickofgrammar
343,k_xhx
344,evan.yxy
345,sleepyklaudia
346,diannamyte
347,roundheadedcharlie
348,xxiaolongbao
349,elliebaos
350,fonxade
351,blingpaulieverywhere
352,underthestarry
353,zminjiex_
354,huattartss
355,jennyeo20
356,aysha.rita
357,andrewgoingnuts
358,kristhanawat
359,cyn.aw
360,michelleongshang
361,princesstititutu
362,n.f.k07
363,stay.infayth
364,norafeza
365,xintianie
366,maggchoc
367,wai_jia1428
368,cin_dee_tan
369,mitcha_28
370,monsterawz
371,soul_crystalshop
372,lone_star79
373,daroknun
374,vicola.orange
375,joycefooo
376,simply_khim
377,ahay_stone29
378,jaylenenjy
379,joannegrace7
380,qudoos6899
381,vonneang
382,imshirley.tan
383,behappy_elynn
384,krystale368
385,angienges
386,carmenki9
387,joannesweetie75
388,azura_bakery
389,a.k.quality_gems
390,qelloxitty
391,carolyn_0886
392,josephineeey
393,fuiminu
394,bewwypuddles
395,eve.tbt
396,jerlyn__t
397,blurshan
398,shokulet
399,bubbly.bubble
400,kapz108
401,serene.tee16
402,crystal_wholesale_stone_shop25
403,elatior.crystal
404,sinyueeee
405,i.love.r.a.i.n.b.o.w
406,winnieewann
407,julianeo2010
408,joannatky
409,tpauline
410,oranje.movers
411,leahhko
412,shamoony0125
413,certainly.benevolent.person
414,cass.baylay
415,adelyneoo
416,fu22y.stones
417,bearie_bearie
418,lsserene
419,jolenejolene
420,icyserenity
421,yukinaraquella
422,0512wjffynn
423,sandralim23
424,carinpang21_
425,marshmellowvespa
426,shinx_tutuma
427,jojo_ll_trg
428,wendreyang
429,adlin_shm
430,kerryonwithlife
431,0.34g_
432,mengpeng24
433,serenelcc1238
434,rachlklala
435,thingsmycatcaught
436,kelly_hanneys
437,daphnygoh
438,lhorein_29
439,lee04933
440,mochabloomsg
441,wtiffany66
442,jaywhyz
443,travelling.stars
444,_xuet
445,adoraffy
446,aliciaxthia
447,eve_ngern
448,jodieepodiee
449,kitty.adeline
450,pearlyyeoo
451,wenjinglim
452,mymandyy
453,clover_wonggg_
454,dar.shene
455,gohxa
456,magic.dolly88
457,marsiegee
458,brendalim88
459,inzannityy
460,sept.ten
