,username,fullName,pubDate,commentCount,likeCount,description,clean_description,clean_tokens,Time,Date,Day of the Week,Hour
0,petalsofarosez,Amanda Low,2022-02-19 03:56:44+00:00,16,910,"You deserve a single shot! The night where I was appreciating the beauties in my collection 😍 love how gorgeous the colors and the quarts are and how they fit each other perfectly 🥰 

#pinkamethystelephant #pinkamethystheart #pinkamethystmoon #pinkamethystgeode #pinkquartz #pinkamethystforsale #pinkamethyst #pinkamethystdruzy #pinkamethystcloud #pinkamethystfreeform #pinkamethystcrystal #pinkamethystcollection #crystals #crystalsofinstagram #crystalsofig #crystalscommunity #crystaladdict #crystalsforsale #crystal #crystalssg #crystalcollection #crystalsingapore #crystallove #crystalhealing #crystalphotography #crystalporn #crystalsg #crystalvibes #crystalgems",deserve single shot night appreciate beauty collection love gorgeous color quart fit perfectly pinkamethystelephant pinkamethystheart pinkamethystmoon pinkamethystgeode pinkquartz pinkamethystforsale pinkamethyst pinkamethystdruzy pinkamethystcloud pinkamethystfreeform pinkamethystcrystal pinkamethystcollection crystal crystalsofinstagram crystalsofig crystalscommunity crystaladdict crystalsforsale crystal crystalssg crystalcollection crystalsingapore crystallove crystalhealing crystalphotography crystalporn crystalsg crystalvibes crystalgems,"['deserve', 'single', 'shot', 'night', 'appreciate', 'beauty', 'collection', 'love', 'gorgeous', 'color', 'quart', 'fit', 'perfectly', 'pinkamethystelephant', 'pinkamethystheart', 'pinkamethystmoon', 'pinkamethystgeode', 'pinkquartz', 'pinkamethystforsale', 'pinkamethyst', 'pinkamethystdruzy', 'pinkamethystcloud', 'pinkamethystfreeform', 'pinkamethystcrystal', 'pinkamethystcollection', 'crystal', 'crystalsofinstagram', 'crystalsofig', 'crystalscommunity', 'crystaladdict', 'crystalsforsale', 'crystal', 'crystalssg', 'crystalcollection', 'crystalsingapore', 'crystallove', 'crystalhealing', 'crystalphotography', 'crystalporn', 'crystalsg', 'crystalvibes', 'crystalgems']",03:56:44,2022-02-19,6,3
1,princessezyt,Triple R Mummy Princess,2022-01-26 13:19:21+00:00,102,527,"This CNY, get yourself or your love ones a NEW and Pretty crystal water bottle from @clarity.ins! 
I have long heard the benefits of crystals and was pretty wowed by it when I received it in my mail. 

The purified crystals exlixir found in the bottles aims to help the following:

-Regulate self intention 
-Purify mind and body 
-Awaken inner energy 
-Remove negative energy

The bottle I had is called “Tumble” and the crystals I selected are rose quartz and it’s supposed to help in relationships and acceptance. How nice! 

It is really my first time drinking water from purified crystals and I really love it! 
There is no “weird” taste at all, in case you are wondering 😅.

Keen to get one too? Head over to www.claritywellness.shop and there is an ongoing CNY Sale! Get a S$8 fortune cash coupon by applying my dedicated code “PRINCESSCW“ upon checking out. (limited coupon to first 50 customers only 😘)What’s more? You can get a free limited gift too - a Tapestry Calendar! 
It will be a great gift for yourself and your love ones. 🤩

 #clarityinspirationalitems #rosequartz #crystalsg #crystals #glasswaterbottle #waterbottle #purifiedwater #purification #purified #singaporean #singapore #clozetteco #sgmotherhood #instagood #influencer #instagramma #discoverunder8k #keepitup26jan22 #microinfluencersg #contentcreator #kol #keyopinionleader #instasg #sgblogger #sglifestyleblogger #kolsg #sgkol #goodthingsmustshare #triedandtested #giftideas",cny get love one new pretty crystal water bottle clarity long hear benefit crystal pretty wow receive mail purified crystal exlixir find bottle aim help following regulate intention purify mind body awaken inner energy remove negative energythe bottle call tumble crystal select rise quartz suppose help relationship acceptance nice really first time drink water purify crystal really love weird taste case wonder keen get head www claritywellness shop ongoing cny sale get fortune cash coupon apply dedicated code princesscw check limited coupon first customer whats get free limited gift tapestry calendar great gift love one clarityinspirationalitems rosequartz crystalsg crystal glasswaterbottle waterbottle purifiedwater purification purify singaporean singapore clozetteco sgmotherhood instagood influencer instagramma discoverunder8k keepitup26jan22 microinfluencersg contentcreator kol keyopinionleader instasg sgblogger sglifestyleblogger kolsg sgkol goodthingsmustshare triedandtested giftideas,"['cny', 'get', 'love', 'one', 'new', 'pretty', 'crystal', 'water', 'bottle', 'clarity', 'long', 'hear', 'benefit', 'crystal', 'pretty', 'wow', 'receive', 'mail', 'purified', 'crystal', 'exlixir', 'find', 'bottle', 'aim', 'help', 'following', 'regulate', 'intention', 'purify', 'mind', 'body', 'awaken', 'inner', 'energy', 'remove', 'negative', 'energythe', 'bottle', 'call', 'tumble', 'crystal', 'select', 'rise', 'quartz', 'suppose', 'help', 'relationship', 'acceptance', 'nice', 'really', 'first', 'time', 'drink', 'water', 'purify', 'crystal', 'really', 'love', 'weird', 'taste', 'case', 'wonder', 'keen', 'get', 'head', 'www', 'claritywellness', 'shop', 'ongoing', 'cny', 'sale', 'get', 'fortune', 'cash', 'coupon', 'apply', 'dedicated', 'code', 'princesscw', 'check', 'limited', 'coupon', 'first', 'customer', 'whats', 'get', 'free', 'limited', 'gift', 'tapestry', 'calendar', 'great', 'gift', 'love', 'one', 'clarityinspirationalitems', 'rosequartz', 'crystalsg', 'crystal', 'glasswaterbottle', 'waterbottle', 'purifiedwater', 'purification', 'purify', 'singaporean', 'singapore', 'clozetteco', 'sgmotherhood', 'instagood', 'influencer', 'instagramma', 'discoverunder8k', 'keepitup26jan22', 'microinfluencersg', 'contentcreator', 'kol', 'keyopinionleader', 'instasg', 'sgblogger', 'sglifestyleblogger', 'kolsg', 'sgkol', 'goodthingsmustshare', 'triedandtested', 'giftideas']",13:19:21,2022-01-26,3,13
2,moonwanderer.est2020,moonwandererclub,2022-02-09 04:15:04+00:00,9,711,"— my 💙 for you as deep as the ocean

Featuring gemmy teal-blue purple Fluorite semi-polished point 

🌊 Valentine’s story sales, Thursday 10/02, 8:30 pm SGT",deep oceanfeaturing gemmy teal blue purple fluorite semi polish point valentine story sale thursday pm sgt,"['deep', 'oceanfeaturing', 'gemmy', 'teal', 'blue', 'purple', 'fluorite', 'semi', 'polish', 'point', 'valentine', 'story', 'sale', 'thursday', 'pm', 'sgt']",04:15:04,2022-02-09,3,4
3,crystalliac,💫 Crystals Shop 💫,2021-09-29 14:36:55+00:00,5,131,"• LET’S GO GREEN! • (PREVIEW)
Join us on Saturday Night, 2nd October 2021 @ 8PM for our first green garden theme! 🌲🌱🦖🤑🥒🐢
-
💚 Lucky draw @ 12AM 
☘️ PWP Crystal Sale @ 11:30PM
🌳 Special Crystals On The Table: 
Emerald Towers/Hearts/Spheres (Special order) 
Green Phantom Tower (Exclusive)
Green Aventurine Runes (Limited) 
Bracelets (Customize by @theakiara.co )
Assorted Green Tumbles (Bundle) 
Green Aventurine Cravings (Assorted)
Resin Standing Poodles (Last!) 
Green Glass Bottle Chips (Bundle) 

… &amp; more! ✨

See you 🌱

#crystalliac #greenstone #greencrystals #emeraldcrystal #greenphantomquartz #greenaventurine #greenstones #crystals #greenrunes #runes #crystalsg #crystalstiktok #crystalsofig #crystals #crystalenergy #crystalgems #crystalvibes #crystaladdict #green #greenlove #greenlovers💚 #stonecollection",let go green preview join saturday night october first green garden theme lucky draw pwp crystal sale special crystal table emerald tower hearts sphere special order green phantom tower exclusive green aventurine rune limit bracelet customize theakiara co assort green tumble bundle green aventurine craving assort resin stand poodle last green glass bottle chip bundle see crystalliac greenstone greencrystals emeraldcrystal greenphantomquartz greenaventurine greenstones crystal greenrunes rune crystalsg crystalstiktok crystalsofig crystal crystalenergy crystalgems crystalvibes crystaladdict green greenlove greenlovers stonecollection,"['let', 'go', 'green', 'preview', 'join', 'saturday', 'night', 'october', 'first', 'green', 'garden', 'theme', 'lucky', 'draw', 'pwp', 'crystal', 'sale', 'special', 'crystal', 'table', 'emerald', 'tower', 'hearts', 'sphere', 'special', 'order', 'green', 'phantom', 'tower', 'exclusive', 'green', 'aventurine', 'rune', 'limit', 'bracelet', 'customize', 'theakiara', 'co', 'assort', 'green', 'tumble', 'bundle', 'green', 'aventurine', 'craving', 'assort', 'resin', 'stand', 'poodle', 'last', 'green', 'glass', 'bottle', 'chip', 'bundle', 'see', 'crystalliac', 'greenstone', 'greencrystals', 'emeraldcrystal', 'greenphantomquartz', 'greenaventurine', 'greenstones', 'crystal', 'greenrunes', 'rune', 'crystalsg', 'crystalstiktok', 'crystalsofig', 'crystal', 'crystalenergy', 'crystalgems', 'crystalvibes', 'crystaladdict', 'green', 'greenlove', 'greenlovers', 'stonecollection']",14:36:55,2021-09-29,3,14
4,rehauscrystals,RehausCrystals,2021-12-01 10:00:27+00:00,109,51204,"🍬[ℙ𝕚𝕟𝕜 ℝ𝕠𝕤𝕖 ℚ𝕦𝕒𝕣𝕥𝕫 𝕋𝕦𝕞𝕓𝕝𝕖𝕤]🍬

💕Lovin these Pink and gemmy Rose Quartz tumbles. Literal candies! 🍭 

Rose Quartz represents love and compassion. It is a stone that you should always have near to you because of its universal love properties, and its ability to heal so many different things. 😌❤️

⚠️Available Friday, Dec 3 6:30pm",pink gemmy rise quartz tumble literal candy rise quartz represent love compassion stone always universal love property ability heal many different thing available friday dec,"['pink', 'gemmy', 'rise', 'quartz', 'tumble', 'literal', 'candy', 'rise', 'quartz', 'represent', 'love', 'compassion', 'stone', 'always', 'universal', 'love', 'property', 'ability', 'heal', 'many', 'different', 'thing', 'available', 'friday', 'dec']",10:00:27,2021-12-01,3,10
5,lulucrystalsx,LuluCrystalsx,2021-10-15 12:01:03+00:00,14,124,"🥳WEEKLY New Hedgies AGAIN🥳
More than 10 new types of hedgies, live on Saturday 9.30pm (16 Oct)!

💁‍♀️So many huat babies, can you not resist? Haha!! 

What to expect:
🐧Blue Calcite Penguins 
💛Citrine
🧊Pyrite 
👓Jade Bow head
🌈Angel Aura
🌼Chrysanthemum Stone
🤎Dessert Rose
💙Azurite
🤍Clear Quartz
💚Moss Agate
&amp;&amp;&amp;&amp; MORE!!!!

Check out IG storiesss and next posts for more previews!!

#fluorite #Blackobsidian #obsidian #greenaventurine #azurite #chrysanthemumstone #bluecalcite #pyrite #cirtine #mossagate #desertrose #jade #rosequartz #amethyst #crystalmeanings #crystalsofig #crystalhedgie #ilovecrystals #singapore #shopcrystals #crystalsgood #crystalsg #happycrystals #crystallife #sgig #igdaily #iggood #igcrystals",weekly new hedgies againmore new type hedgies live saturday oct many huat baby resist haha expect blue calcite penguin citrinepyrite jade bow headangel aurachrysanthemum stonedessert roseazuriteclear quartzmoss agate check ig story next post preview fluorite blackobsidian obsidian greenaventurine chrysanthemumstone bluecalcite pyrite cirtine mossagate desertrose jade rosequartz amethyst crystalmeanings crystalsofig crystalhedgie ilovecrystals singapore shopcrystals crystalsgood crystalsg happycrystals crystallife sgig igdaily iggood igcrystals,"['weekly', 'new', 'hedgies', 'againmore', 'new', 'type', 'hedgies', 'live', 'saturday', 'oct', 'many', 'huat', 'baby', 'resist', 'haha', 'expect', 'blue', 'calcite', 'penguin', 'citrinepyrite', 'jade', 'bow', 'headangel', 'aurachrysanthemum', 'stonedessert', 'roseazuriteclear', 'quartzmoss', 'agate', 'check', 'ig', 'story', 'next', 'post', 'preview', 'fluorite', 'blackobsidian', 'obsidian', 'greenaventurine', 'chrysanthemumstone', 'bluecalcite', 'pyrite', 'cirtine', 'mossagate', 'desertrose', 'jade', 'rosequartz', 'amethyst', 'crystalmeanings', 'crystalsofig', 'crystalhedgie', 'ilovecrystals', 'singapore', 'shopcrystals', 'crystalsgood', 'crystalsg', 'happycrystals', 'crystallife', 'sgig', 'igdaily', 'iggood', 'igcrystals']",12:01:03,2021-10-15,5,12
6,crystalpixiesg,Crystal Pixie ✨,2022-03-15 14:52:31+00:00,5,272,"✨ Ocean Jasper Galore ✨

Ocean Jasper eggs : $40+
Ocean Jasper Speres: from $80+

I always feel posting a reel only is incomplete! There has a to be a accompanying photo ☺️

Ocean Jasper is said to provide calm, uplifting energy to the holder in trying times, feeding into a more optimistic outlook on life. 

Dm for videos and to claim yours! ❤️☺️✨

#oceanjasper #oceanjaspersphere #oceanjasperlove #crystals #crystalsg #crystalsofig #crystalsofinstagram #crystalhealing",ocean jasper galore ocean jasper egg ocean jasper speres always feel post reel incomplete accompany photo ocean jasper say provide calm uplift energy holder try time feed optimistic outlook life dm video claim oceanjaspersphere oceanjasperlove crystal crystalsg crystalsofig crystalsofinstagram crystalhealing,"['ocean', 'jasper', 'galore', 'ocean', 'jasper', 'egg', 'ocean', 'jasper', 'speres', 'always', 'feel', 'post', 'reel', 'incomplete', 'accompany', 'photo', 'ocean', 'jasper', 'say', 'provide', 'calm', 'uplift', 'energy', 'holder', 'try', 'time', 'feed', 'optimistic', 'outlook', 'life', 'dm', 'video', 'claim', 'oceanjaspersphere', 'oceanjasperlove', 'crystal', 'crystalsg', 'crystalsofig', 'crystalsofinstagram', 'crystalhealing']",14:52:31,2022-03-15,2,14
7,ss_rockmyworld,SS 🇸🇬,2021-12-05 23:15:52+00:00,10,532,"Clear quartz gwindel 

Oberaar Glacier, Grimsel area, Hasli-Valley, Bern, Switzerland

Quartz crystals that grew along and are slightly rotated around a single a-axis. This results in twisted and tabular crystals. The twist reflects the handedness of the quartz crystals. With increasing distance from the base
- right-handed gwindels twist clockwise.
- left-handed gwindels twist counter-clockwise.

Source: https://www.mindat.org/min-39374.html
CA0

#quartz #quartzcrystal #quartzlover  #crystalsingapore #singaporecrystals #swissalps #swissquartz #gwindelquartz #clearquartz #alpinequartz #crystalsg #minerals #mineralcollector",clear quartz gwindel glacier grimsel area hasli valley bern switzerlandquartz crystal grow along slightly rotate single axis result twisted tabular crystal twist reflect handedness quartz crystal increase distance base right hand gwindels twist clockwise left hand gwindels twist counter clockwise source http www mindat htmlca0 quartz quartzcrystal quartzlover crystalsingapore singaporecrystals swissalps swissquartz gwindelquartz clearquartz alpinequartz crystalsg mineral mineralcollector,"['clear', 'quartz', 'gwindel', 'glacier', 'grimsel', 'area', 'hasli', 'valley', 'bern', 'switzerlandquartz', 'crystal', 'grow', 'along', 'slightly', 'rotate', 'single', 'axis', 'result', 'twisted', 'tabular', 'crystal', 'twist', 'reflect', 'handedness', 'quartz', 'crystal', 'increase', 'distance', 'base', 'right', 'hand', 'gwindels', 'twist', 'clockwise', 'left', 'hand', 'gwindels', 'twist', 'counter', 'clockwise', 'source', 'http', 'www', 'mindat', 'htmlca0', 'quartz', 'quartzcrystal', 'quartzlover', 'crystalsingapore', 'singaporecrystals', 'swissalps', 'swissquartz', 'gwindelquartz', 'clearquartz', 'alpinequartz', 'crystalsg', 'mineral', 'mineralcollector']",23:15:52,2021-12-05,7,23
8,rehauscrystals,RehausCrystals,2021-12-09 10:59:23+00:00,55,7483,"🤪𝕊𝕎𝕀ℙ𝔼 𝕀𝔽 𝕐𝕆𝕌 𝔻𝔸ℝ𝔼✨

🌈[𝕋𝕙𝕖 ℝ𝕒𝕚𝕟𝕓𝕠𝕨 ℂ𝕠𝕝𝕝𝕖𝕔𝕥𝕚𝕠𝕟]💫

😍🌈✨ This special collection release is dedicated to all the rainbow lovers out there! 🤗 Please continue swiping to see all the rainbow goodness! 🌈🤪❤️

💫The Rainbow Collection took months of curation and it’s totally worth it! It includes Rose Quartz, Blue Rose Quartz and Girasol Quartz spheres. They are all keepers if you ask me. 🤩😉

👉🏻Like and share this post if you are a rainbow lover! Comment your favorite rainbow sphere down below! 🤤

⭐️Specially curated with love 
⭐️From Madagascar 🇲🇬 and Mozambique 🇲🇿 

⚠️Available Friday, Dec 10 6:30pm",special collection release dedicate rainbow lovers please continue swipe see rainbow goodness rainbow collection take month curation totally worth include rise quartz blue rise quartz girasol quartz sphere keeper ask share post rainbow lover comment favorite rainbow sphere specially curated love madagascar mozambique available friday dec,"['special', 'collection', 'release', 'dedicate', 'rainbow', 'lovers', 'please', 'continue', 'swipe', 'see', 'rainbow', 'goodness', 'rainbow', 'collection', 'take', 'month', 'curation', 'totally', 'worth', 'include', 'rise', 'quartz', 'blue', 'rise', 'quartz', 'girasol', 'quartz', 'sphere', 'keeper', 'ask', 'share', 'post', 'rainbow', 'lover', 'comment', 'favorite', 'rainbow', 'sphere', 'specially', 'curated', 'love', 'madagascar', 'mozambique', 'available', 'friday', 'dec']",10:59:23,2021-12-09,4,10
9,nickycrystcollection,,2022-03-18 04:32:09+00:00,4,48,"As you guys know I just received my new Pink amethyst batch yesterday only, so not much have been done yet haha!🤣 Sorry about that but here’s some update for you guys! 

Next sale will be split into 2 batch:

1st batch: Pink amethyst craving sale🐱
-Tower, cat head and hearts 

2nd batch: Pink amethyst sphere sale🔮
- ALL Spheres 

Sale date will be updated very soon! In between I’ll post more sneaks too💖 Thank you for your patience with me, really appreciate it! Stay tuned!😘

*Sphere in photo does not belong to the sale, is my personal piece NFS*",guy know receive new pink amethyst batch yesterday much yet haha sorry heres update guy next sale split batch batch pink amethyst crave sale tower cat head hearts batch pink amethyst sphere sale sphere sale date update soon ill post sneak thank patience really appreciate stay tune sphere photo belong sale personal piece nfs,"['guy', 'know', 'receive', 'new', 'pink', 'amethyst', 'batch', 'yesterday', 'much', 'yet', 'haha', 'sorry', 'heres', 'update', 'guy', 'next', 'sale', 'split', 'batch', 'batch', 'pink', 'amethyst', 'crave', 'sale', 'tower', 'cat', 'head', 'hearts', 'batch', 'pink', 'amethyst', 'sphere', 'sale', 'sphere', 'sale', 'date', 'update', 'soon', 'ill', 'post', 'sneak', 'thank', 'patience', 'really', 'appreciate', 'stay', 'tune', 'sphere', 'photo', 'belong', 'sale', 'personal', 'piece', 'nfs']",04:32:09,2022-03-18,5,4
