,follower,no_of_followers,no_of_followees,is_private,ratio,no_of_posts
0,jenix_ee,1334,453,False,0.3395802098950525,327
1,kymlian,2206,1295,False,0.5870353581142339,3154
2,pamhuu,578,828,False,1.4325259515570934,2021
3,jessikaung,2485,3276,True,1.3183098591549296,978
4,jas514,36,1034,True,28.72222222222222,155
5,bingo925,53,1328,True,25.056603773584907,62
6,flyingunicornpoop,17,1185,True,69.70588235294117,51
7,sjoman86,131,288,True,2.198473282442748,1243
8,lainetyl,475,686,True,1.4442105263157894,138
9,ashleysfeelgoodpage,177,204,False,1.152542372881356,31
10,babyruslol,45,133,True,2.9555555555555557,0
11,ccfkim,172,358,True,2.0813953488372094,79
12,jokiflorals,1055,6529,False,6.188625592417061,55
13,sophialsj,11,135,True,12.272727272727273,1
14,xjiahuix,794,1171,True,1.4748110831234258,694
15,alex_iseee,0,74,True,74.0,0
16,mondaycheers,158,459,True,2.9050632911392404,0
17,juds.3,237,411,False,1.7341772151898733,234
18,xxsljyxx,192,822,True,4.28125,2887
19,owlger,159,1098,True,6.90566037735849,309
20,itsjesszy,39,65,False,1.6666666666666667,15
21,jessleezy,408,814,True,1.9950980392156863,651
22,faridahmrkm,266,870,True,3.2706766917293235,144
23,junelim.84,31,98,True,3.161290322580645,25
24,yunns260290,170,308,True,1.811764705882353,244
25,giniagrinz,157,1664,True,10.598726114649681,557
26,crystal_wholesale.xue,414,1713,False,4.13768115942029,168
27,pey_legaspi,490,565,True,1.153061224489796,202
28,igreensg,4062,4755,False,1.170605612998523,2
29,chloe__lim,174,457,True,2.6264367816091956,559
30,xiuyin,236,2133,True,9.038135593220339,6
31,hellocrystaladdict,91,162,True,1.7802197802197801,3
32,trippyhippiecrystals,3604,7502,False,2.08157602663707,899
33,ling.ee_86,24,369,True,15.375,33
34,jollypattan,76,322,True,4.2368421052631575,210
35,fernk88,24,114,True,4.75,11
36,liz.monteiro_er,3838,5723,False,1.4911412193850964,117
37,jaslynangela,66,409,True,6.196969696969697,3267
38,j_acew,638,504,False,0.7899686520376176,966
39,cynthia.cyk,226,1325,True,5.8628318584070795,1140
40,kahyathiri_sanjay,219,436,True,1.9908675799086757,300
41,weitinggggg_,302,386,True,1.2781456953642385,377
42,eunice_xf,101,265,True,2.623762376237624,307
43,jasminethechai,2833,2074,True,0.7320861277797388,2521
44,cindyylf,1035,3997,False,3.8618357487922705,349
45,xxo_angie_oxx,104,468,True,4.5,324
46,shui_ling_long,60,233,True,3.8833333333333333,3
47,etannn15,33,3284,True,99.51515151515152,474
48,geraldenneee,950,1311,True,1.38,214
49,kevvvinnaa,143,1161,True,8.118881118881118,480
50,im_charissa,2243,3272,False,1.4587605884975479,275
51,hyimian,232,433,False,1.8663793103448276,30
52,jasuminechu,337,956,False,2.836795252225519,29
53,fifian_pacific,648,7452,False,11.5,168
54,feiegav,778,7456,False,9.583547557840618,175
55,vibrantjurongwestsg,655,1281,False,1.9557251908396946,459
56,cheezblog,5,26,True,5.2,4
57,marissa1679,151,223,True,1.4768211920529801,70
58,crystalluvver,0,66,True,66.0,0
