,username,followers,followees,is_private,is_business_account,is_verified,biography
0,petalsofarosez,2039,692,False,False,False,"Capricorn ll 🧳🛫
 “Traveling – it leaves you speechless, then turns you into a storyteller.
A girl loving her crystals dearly, follow @petalsofacrystal"
1,princessezyt,8315,7281,False,True,False,"🇸🇬 🛍👸🏻 
Rhy 9 Ryz 7 Ryn 4
Living Life To The Fullest
👗@myprincesswand 
👩🏻‍🦰@sgfavesofficial @marketingo_influencer
💇🏻‍♀️ @organichairregrowthsolutions"
2,moonwanderer.est2020,3515,61,False,True,False,"✧ natural crystals + specimens
✧ mindfully + ethically sourced
✧ thurs story sales - in progress🕊 
✧ ✋🏻we ships worldwide  
✧ avail on highlights"
3,crystalliac,7710,888,False,True,False,"💕 50% OFF Crystals Live Show: 2nd April, Saturday 8PM
🔮 Curated Quality Healing Stones
🇸🇬 Singapore Based 
🛍 Shop Instock Crystals on Shopee"
4,rehauscrystals,4756,97,False,True,False,"🌠 sᴛᴏʀʏ sᴀʟᴇ ᴏɴ ғʀɪᴅᴀʏs 🌈
🏠 ᴀʟʟ ᴄʀʏꜱᴛᴀʟꜱ ᴅᴇꜱᴇʀᴠᴇ ᴀ ʟᴏᴠɪɴɢ ʜᴏᴍᴇ! 🔮💫
🌏 ᴡᴏʀʟᴅᴡɪᴅᴇ ꜱʜɪᴘᴘɪɴɢ 🛩📦
📍ꜱɪɴɢᴀᴘᴏʀᴇ 🇸🇬"
5,lulucrystalsx,5004,7493,False,True,False,"Everyone calls me Ms Hedgie 👩‍🌾
Big on Hedgies-Amethyst-Carvings🤩
Live: Saturdays & Random Weekday 6️⃣🌝
Ships Worldwide🤗
Admin @lulucrystalsxcaige👨‍💼"
6,crystalpixiesg,6032,2383,False,True,False,"✨ SHIPPING WORLDWIDE  ✨
✨ Available @crystalpixiesgshop 
✨ Specially handpicked by me for you 💕
❤️ Obsessed with colours and vibrant vibes!⠀"
7,ss_rockmyworld,12008,1846,False,False,False,"Welcome to my page where i share rocks and minerals related stuff from my own collection. 
P.s. I LOVE QUARTZ!
NFS"
8,nickycrystcollection,9189,152,False,True,False,"🔮Just a showcase of my humble crystal collection
💖PA LOVER
🌈P.S Majority NFS unless stated
🌻TO SHOP > @nickycrystavail"
9,kleodora.krystals,1281,1264,False,True,False,"🇸🇬 Based in Singapore
✨ Handpicked quality crystals!
✈️ Ships internationally!
🌈 Check highlights for available items!"
