,username,mediacount,followers,followees,biography,profile_pic_url
0,biondiii_penyu,74,513,3817,,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/12501769_1690114391268793_535583094_a.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=101&_nc_ohc=6q2V6eKiLcMAX99Gu6R&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT8cwB8aOMROsQiMWs01UwV0wkHp3TOhGc_QATYNlNn92A&oe=624A5DB4&_nc_sid=a9513d
1,copper_and_gold_minerals,0,102,1451,Geologist⛏,https://scontent-sin6-3.cdninstagram.com/v/t51.2885-19/276275521_493684979076460_295871553368777455_n.jpg?_nc_ht=scontent-sin6-3.cdninstagram.com&_nc_cat=104&_nc_ohc=1-mXH8E2mBsAX8Sd7Xi&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_eQ6KYHLVxxaPIhiXq5VE3d2-7QkyMzBcOsKT_ySJbow&oe=624A8AA7&_nc_sid=a9513d
2,_giselaisabel,0,0,182,,https://scontent-sin6-2.cdninstagram.com/v/t51.2885-19/276967621_502122091524857_4794429607073504623_n.jpg?_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=105&_nc_ohc=-gqSxdSxp_kAX8_w0mg&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT80onK7EGAy6VgLFJi4T3fl96r9OzepvAdMgk59Zx2zEw&oe=6248E462&_nc_sid=a9513d
3,rock_and_crystal_ice,135,1706,2156,"We Deals All Kind Of Crystal Specimens Loose Gemstones 
💎 | You Will Love Our Kind Precious Stones
🌎 | WorldWide Shipping 
💰 | Paypal Accepted
💵 | DHL",https://scontent-sin6-1.cdninstagram.com/v/t51.2885-19/262766015_322276729457947_1116001208453900202_n.jpg?_nc_ht=scontent-sin6-1.cdninstagram.com&_nc_cat=107&_nc_ohc=kLB_C-aCxHUAX8VvU2l&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT9SXmnSG18C-G7dGTWMzNL8CYCt3d7SmR_oeRfGEqa25Q&oe=62499CD7&_nc_sid=a9513d
4,valerie_mitchellxo,38,1061,805,"🧐 29 Years | 📍 Glendale | 💖 Techno Admirer
“I intend to live forever. So far, so good!”",https://scontent-sin6-2.cdninstagram.com/v/t51.2885-19/264894470_1033955980715613_2516162812343356173_n.jpg?_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=109&_nc_ohc=SCb7RXnz6fwAX8BxIqX&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT-tvyq0BRdiWym8cOrQI-Ks2LiS361Z-4GwBJpimca1MA&oe=624A441C&_nc_sid=a9513d
5,wanderstoneus,257,1970,2463,"Crystal, Mineral & Jewelry Shop
Shopping and retail 🛍
Internationally sourced gifts from Mother Earth 🌍 💎 
#mompreneur Scientist & Geology Nerd",https://scontent-sin6-2.cdninstagram.com/v/t51.2885-19/274258807_589101609456896_3273560390664242667_n.jpg?_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=108&_nc_ohc=FJuk1u9ud9EAX-NOP5t&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_DHZyS4_ut8z6ckGG0BnDf1lZUBxs32RMJQziQd3cG1Q&oe=624A89CA&_nc_sid=a9513d
6,jordanmarcel2,51,241,785,"09/03/1998
(603), (207)❤🏠
🌈 Gay 🌈",https://scontent-sin6-2.cdninstagram.com/v/t51.2885-19/95696047_246103010075729_5124847220599816192_n.jpg?_nc_ht=scontent-sin6-2.cdninstagram.com&_nc_cat=105&_nc_ohc=a37jeOmkO1kAX9M6h60&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT-mlcCPJ3fLjJ9w5o4ollqIEVoysGempIjSr2je01BMrw&oe=6249E6CA&_nc_sid=a9513d
7,3elias3yau3,6,203,3326,Quem acredita sempre alcança.,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/174556792_281364263569402_2260409581320991185_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=110&_nc_ohc=t8pk437-C_IAX9jgG2g&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_fdtclA41BzM0HGrMUeJe_jnJkIbp7u_wMMTX7O_eLmw&oe=624A1F5C&_nc_sid=a9513d
8,cicero.cardosodapaz,960,673,1155,,https://scontent-sin6-4.cdninstagram.com/v/t51.2885-19/235736806_863152994357662_2695056890533519978_n.jpg?_nc_ht=scontent-sin6-4.cdninstagram.com&_nc_cat=110&_nc_ohc=JXVGjFAbS4cAX-e9qo1&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT9TJFeM6tJyV4p3vZrtcDpC_3WUOp595-lNvG4OwTrldg&oe=624986B0&_nc_sid=a9513d
9,omar__sardasht,135,552,1176,,https://scontent-sin6-3.cdninstagram.com/v/t51.2885-19/272484071_228637492698496_4037517323621579073_n.jpg?_nc_ht=scontent-sin6-3.cdninstagram.com&_nc_cat=104&_nc_ohc=glqESGvxAGEAX9EgcS6&edm=AEF8tYYBAAAA&ccb=7-4&oh=00_AT_p2AqG-ijCuu3_yNPTtxD1goHZANDYWuh8CkwoeGFOSQ&oe=6248C709&_nc_sid=a9513d
