,index,date,caption,comments,likes
0,0,2022-03-26 10:33:06,"🧡𝐒𝐮𝐧 𝟐𝟕 𝐌𝐚𝐫 | 𝟕.𝟑𝟎𝐩𝐦 @jam.stones @lavvalsg 𝐒𝐡𝐨𝐩𝐞𝐞 𝐋𝐢𝐯𝐞 (Click Link On Bio to set a reminder) ✨

𝐋𝐢𝐯𝐞 𝐂𝐫𝐲𝐬𝐭𝐚𝐥 𝐌𝐞𝐧𝐮 𝐟𝐨𝐫 𝐭𝐡𝐞 𝐍𝐢𝐠𝐡𝐭!
- Snow White/Waterhue Lavender  JADE
- Larimar Ocean Series
- GOLD Series ( Citrine/Gold Rutilated Quartz)
- Fumao | Nine-Tail Fox | Unicorn Bracelets *SUPER 7 SMOKY*
- New Crystal Rings (Tourmaline / Tanzanite / Ombré Series)
- Special Price Bracelets/Markdowns! 

Swipe to view some sneaks 😛",0,48
1,1,2022-03-26 10:02:08,"𝐒𝐡𝐨𝐩 𝐚𝐭 𝐨𝐮𝐫 𝐬𝐭𝐮𝐝𝐢𝐨 𝐍𝐨𝐰! :𝐃 @newagegaia 
*Appointment basis only
🌼Mon - Wed, 12pm-5pm

💗Address : 𝐒𝐢𝐧𝐠𝐚𝐩𝐨𝐫𝐞 𝐒𝐡𝐨𝐩𝐩𝐢𝐧𝐠 𝐂𝐞𝐧𝐭𝐫𝐞 (𝟑 𝐌𝐢𝐧 𝐰𝐚𝐥𝐤 𝐟𝐫𝐨𝐦 𝐃𝐡𝐨𝐛𝐲𝐆𝐡𝐚𝐮𝐭 𝐌𝐫𝐭) #02-08 s(239924) 

✨Click 𝐋𝐢𝐧𝐤 𝐨𝐧 𝐁𝐢𝐨 to book your shopping slots! 

✨𝐁𝐎𝐍𝐔𝐒✨
- Stand a chance to play our Crystal Gachapon and win prizes up to $48 with min $10 purchase.
- Surprise weekly special deal at the studio

#crystalsg #crystalshop #crystalbracelet #crystalhealing",0,128
2,2,2022-03-24 04:05:49,"Prepping our first Bridesmaids Mystery Box orders with @newagefsg 😍😍😍 

Box A: $30 (Worth $50++)
Box B: $50 (worth $80++)
Box C: $70 (worth $110++)
Box D: $100 (worth $160++)

We will specially curate a box based on your preference with pendants / earrings / bracelets / tumbles / raw stones / spheres / pointers / towers / carvings.

Example:
1.  Colour theme - pastel / vibrant / blue 
2. Benefit theme - career / love / calmness 
3. Crystal type - pointer / bracelet / raw stones",15,124
3,3,2022-03-19 09:02:38,"🧡𝐒𝐮𝐧 𝟐𝟎 𝐌𝐚𝐫 | 𝟕.𝟑𝟎𝐩𝐦  @jam.stones @lavvalsg 𝐒𝐡𝐨𝐩𝐞𝐞 𝐋𝐢𝐯𝐞 (Click Link On Bio to set a reminder) ✨

𝐋𝐢𝐯𝐞 𝐂𝐫𝐲𝐬𝐭𝐚𝐥 𝐌𝐞𝐧𝐮 𝐟𝐨𝐫 𝐭𝐡𝐞 𝐍𝐢𝐠𝐡𝐭!
- Snow White JADE
- Larimar Ocean Series
- GOLD Series ( Citrine/Gold Rutilated Quartz) 
- Fumao | Nine-Tail Fox Bracelets *JADE*
- New Crystal Rings (Tourmaline / Tanzanite / Ombré Series)

Swipe to view some sneaks 😛",0,117
4,4,2022-03-18 09:30:33,"🌙 𝐒𝐞𝐥𝐞𝐧𝐞 (𝐂𝐚𝐥𝐦𝐧𝐞𝐬𝐬, 𝐏𝐞𝐚𝐜𝐞, 𝐁𝐞𝐚𝐮𝐭𝐲 𝐚𝐧𝐝 𝐅𝐞𝐦𝐚𝐥𝐞 𝐖𝐞𝐥𝐥𝐧𝐞𝐬𝐬)✨
Moonstone(my personal favourite Crystal 😍) is the perfect stone for female wellness (beautiful skin/hair and helps to regulate menstrual cycles🙆🏻‍♀️)

$89.90 - 14mm centerpiece
$109.90 - 16mm centerpiece
$119.90 - 17mm centerpiece

𝐁𝐥𝐮𝐞 𝐒𝐡𝐞𝐞𝐧 𝐌𝐨𝐨𝐧𝐬𝐭𝐨𝐧𝐞 (𝐃𝐢𝐬𝐩𝐥𝐚𝐲 𝟏𝟔𝐦𝐦)
It promotes intuition by increasing your physic awareness. It also calms the mind and promotes a sense of peace and happiness. It also helps with PMS, fertility and childbirth. Its feminine energy helps balances the female hormones to heal skin diseases and hair loss. It also helps the digestive system and the assimilation of nutrients. Moonstone also helps to eliminate toxins and fluid retention.

𝐂𝐥𝐞𝐚𝐫 𝐐𝐮𝐚𝐫𝐭𝐳
A stone of healing. It absorbs, stores, releases, and regulates energy. It strengthens the immune system and brings the body into balance.

𝐅𝐫𝐞𝐬𝐡𝐰𝐚𝐭𝐞𝐫 𝐏𝐞𝐚𝐫𝐥𝐬
Symbolize Purity, Transformation, Honesty, Wisdom and Integrity. It is known to be calming and helps one manage the temper, useful in strengthening relationships. This iridescent beauty helps improve memory and concentration. It is also believed to treat digestive disorders.

𝐖𝐡𝐢𝐭𝐞 𝐀𝐠𝐚𝐭𝐞
A stone of balance and release. White agate promotes mental health and wellbeing. It helps one to overcome challenges such as frustration and anxiety. It is believed to stimulate the crown chakra and is often used to make worry stones.",0,96
5,5,2022-03-16 13:25:18,"🌈𝐑𝐚𝐢𝐧𝐛𝐨𝐰 ( 𝐂𝐚𝐫𝐞𝐞𝐫, 𝐂𝐨𝐧𝐟𝐢𝐝𝐞𝐧𝐜𝐞, 𝐋𝐨𝐯𝐞, 𝐆𝐫𝐨𝐰𝐭𝐡, 𝐖𝐞𝐢𝐠𝐡𝐭-𝐋𝐨𝐬𝐬 , 𝐇𝐚𝐩𝐩𝐢𝐧𝐞𝐬𝐬 𝐚𝐧𝐝 𝐅𝐨𝐫𝐭𝐮𝐧𝐞)
$109.90

🍭 𝐂𝐚𝐧𝐝𝐲𝐟𝐥𝐨𝐬𝐬 ( 𝐂𝐚𝐫𝐞𝐞𝐫, 𝐖𝐞𝐚𝐥𝐭𝐡, 𝐋𝐨𝐯𝐞, 𝐂𝐚𝐥𝐦𝐧𝐞𝐬𝐬, 𝐖𝐞𝐢𝐠𝐡𝐭-𝐋𝐨𝐬𝐬 , 𝐇𝐚𝐩𝐩𝐢𝐧𝐞𝐬𝐬 𝐚𝐧𝐝 𝐅𝐨𝐫𝐭𝐮𝐧𝐞)
$89.90

Rainbow's Crystals ( Candyfloss Crystals please refer to website :))
𝐂𝐢𝐭𝐫𝐢𝐧𝐞 (𝐒𝐢𝐳𝐞 𝐚𝐧𝐝 𝐬𝐡𝐚𝐩𝐞 𝐰𝐢𝐥𝐥 𝐯𝐚𝐫𝐲 𝐝𝐮𝐞 𝐭𝐨 𝐧𝐚𝐭𝐮𝐫𝐞 𝐨𝐟 𝐠𝐞𝐨𝐦𝐞𝐭𝐫𝐢𝐜 𝐜𝐫𝐲𝐬𝐭𝐚𝐥𝐬)
It is a stone of abundance which will teach you to manifest and attract wealth, prosperity, success and all good things. Citrine helps motivate, promotes creativity and encourages self- expression. It makes you less sensitive, especially to criticism. It helps raise one’s self- esteem, positivity and optimism and is an excellent stone to overcome depression, fears and phobias.

𝐒𝐞𝐫𝐚𝐩𝐡𝐢𝐧𝐢𝐭𝐞
It is Known as a Stone of ""Angels"" due to its high positive energies. Its feathery wings promotes living from the heart. Strengthens and balances your body energies and aids in releasing muscle tension in the neck. It stimulates the heart chakra and aids in releasing muscle tension in the neck. Seraphinite keeps the body warm to prevent chills and is helpful in promoting weight loss.

𝐊𝐲𝐚𝐧𝐢𝐭𝐞
Kyanite is a powerful amplifier of high frequency and helps to stimulate psychic abilities and intuition. Its grounding spiritual vibration helps to facilitate dream recall and promotes astral body travelling. Kyanite stimulates the throat chakra and aids with self-expression and speech. It clears ignorance and doubts and opens the pathway to spiritual and psychological truth. It is also an excellent stone for meditation and manifestation.

𝐏𝐥𝐮𝐦 𝐓𝐨𝐮𝐫𝐦𝐚𝐥𝐢𝐧𝐞
Tourmaline is also a mental healer, it transmutes negative thoughts to positive ones and removes any deep seated fear, anger and guilt in the mind. It helps you to re-connect yourself with your soul purpose and increase your self-confidence and self-esteem. It also improve relationship and networking.",6,111
6,6,2022-03-14 08:50:00,"🌼𝐉𝐞𝐰𝐞𝐥𝐫𝐲 𝐌𝐲𝐬𝐭𝐞𝐫𝐲 𝐁𝐨𝐱✨
*$5 off vouchers up for grabs on Shopee 😍

Great idea for gifts and surprises!!!😍 Let us know your preference and we will curate a Jewelry box for you💗

Box A $50 - x2 Accessories (Rings/Earrings/Dainty Bracelets) + x1 Jewelry Box *colour of your choice (𝐕𝐚𝐥𝐮𝐞 $𝟖𝟎++)

Box B $70 - x3 Accessories (Rings/Earrings/Dainty Bracelets) + x1 Jewelry Box *colour of your choice (𝐕𝐚𝐥𝐮𝐞 $𝟏𝟏𝟎++)

* 𝐅𝐞𝐞𝐥 𝐟𝐫𝐞𝐞 𝐭𝐨 𝐢𝐧𝐝𝐢𝐜𝐚𝐭𝐞 𝐲𝐨𝐮𝐫 𝐩𝐫𝐞𝐟𝐞𝐫𝐞𝐧𝐜𝐞 𝐮𝐧𝐝𝐞𝐫 ""𝐧𝐨𝐭𝐞𝐬 𝐭𝐨 𝐬𝐞𝐥𝐥𝐞𝐫"" 𝐚𝐧𝐝 𝐰𝐞 𝐰𝐢𝐥𝐥 𝐭𝐫𝐲 𝐨𝐮𝐫 𝐛𝐞𝐬𝐭 𝐭𝐨 𝐚𝐜𝐜𝐨𝐦𝐦𝐨𝐝𝐚𝐭𝐞.
𝐞.𝐠 *NO CHOSING EXACT DESIGN 💕
A. Colour theme : Pink/Purple/Blue etc
B. Benefits theme : Calmness, Career, Love etc
C. Jewelry Type / Hardware ( Silver/Rose gold)",0,64
7,7,2022-03-13 04:20:24,"🧡𝐒𝐮𝐧 𝟏𝟑 𝐌𝐚𝐫 | 𝟕.𝟑𝟎𝐩𝐦 *𝐓𝐎𝐍𝐈𝐆𝐇𝐓* @jam.stones @lavvalsg 𝐒𝐡𝐨𝐩𝐞𝐞 𝐋𝐢𝐯𝐞 (Click Link On Bio to set a reminder) ✨

- R A I N B O W  Series (Huggies, Rings and Bracelets) 🌈
- Slate Grey GRADE A Jade Series
- Fumao | Nine-Tail Fox Bracelets *JADE*
- New Crystal Rings (Tourmaline / Tanzanite / Ombré Series)

Swipe to view some sneaks 😛",0,108
8,8,2022-03-11 09:11:04,"𝐁𝐥𝐮𝐞 𝐒𝐡𝐞𝐞𝐧 𝐌𝐨𝐨𝐧𝐬𝐭𝐨𝐧𝐞
It promotes intuition by increasing your physic awareness. It also calms the mind and promotes a sense of peace and happiness. It also helps with PMS, fertility and childbirth. Its feminine energy helps balances the female hormones to heal skin diseases and hair loss. It also helps the digestive system and the assimilation of nutrients. Moonstone also helps to eliminate toxins and fluid retention.

Moonstone Bracelets/Necklaces from $29.90 ! 

🌼𝐂𝐥𝐢𝐜𝐤 𝐜𝐥𝐢𝐜𝐤 𝐨𝐧 𝐛𝐢𝐨 𝐭𝐨 𝐯𝐢𝐞𝐰 𝐨𝐮𝐫 𝐛𝐞𝐬𝐭 𝐬𝐞𝐥𝐥𝐞𝐫𝐬!",0,76
9,9,2022-03-09 12:51:27,"For the Agate lovers !!! 😍😍😍
* prices before discount 

1. Kyra $59.90
2. Karli $69.90 
3. Alashan $49.90 

Necklaces $29.90 💗",2,73
