,index,date,caption,comments,likes
0,0,2022-03-30 11:48:36,"The bags get swag too❤️
Lucky Coins Jade bag charm.

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,6
1,1,2022-03-29 23:45:55,"<SOLD> Garden Phantom Quartz  Supreme and Garden Phantom Quartz with Tangerine Quartz jewelry🌹🌷🌻

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,11
2,2,2022-03-29 17:02:06,"<SOLD> Garden Phantom Quartz  Supreme and Garden Phantom Quartz with Tangerine Quartz jewelry🌹🌷🌻

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,10
3,3,2022-03-29 08:51:07,"<SOLD> Garden Phantom Quartz  Supreme and Garden Phantom Quartz with Tangerine Quartz jewelry🌹🌷🌻

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,17
4,4,2022-03-28 23:45:51,"<SOLD> Autumn & Winter Phantom Quartz and White Coral jewelry🍂❄️

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,8
5,5,2022-03-28 19:37:03,"<SOLD> Autumn & Winter Phantom Quartz and White Coral jewelry🍂❄️

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,11
6,6,2022-03-28 19:36:15,"<SOLD> Autumn & Winter Phantom Quartz and White Coral jewelry🍂❄️

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,3
7,7,2022-03-28 17:03:33,"Talisman Fortune Necklace 

Gemstones
- Golden Tigereye from Brazil
- Pink Tourmaline from Brazil
- Green Aventurine from India

Real Gemstones
Original Art
Luxury Crystal Healing 
www.covetcrystals.com",0,4
8,8,2022-03-28 09:01:39,"Talisman Fortune Necklace 

Gemstones
- Golden Tigereye from Brazil
- Pink Tourmaline from Brazil
- Green Aventurine from India

Real Gemstones
Original Art
Luxury Crystal Healing 
www.covetcrystals.com",0,4
9,9,2022-03-28 08:57:57,"Talisman Fortune Necklace 

Gemstones
- Golden Tigereye from Brazil
- Pink Tourmaline from Brazil
- Green Aventurine from India

Real Gemstones
Original Art
Luxury Crystal Healing 
www.covetcrystals.com",0,0
10,10,2022-03-27 23:48:41,"Talisman Prosper Pendant 

Gemstones
- Golden Tigereye from Brazil
- Tangerine Quartz from Brazil
- Lapis Lazuli from Afghanistan

Real Gemstones
Original Art
Luxury Crystal Healing 
www.covetcrystals.com",0,3
11,11,2022-03-27 14:59:23,"Talisman Prosper Necklace 

Gemstones
- Golden Tigereye from Brazil
- Tangerine Quartz from Brazil
- Lapis Lazuli from Afghanistan

Real Gemstones
Original Art
Luxury Crystal Healing 
www.covetcrystals.com",0,3
12,12,2022-03-27 14:58:02,"Talisman Prosper Necklace 

Gemstones
- Golden Tigereye from Brazil
- Tangerine Quartz from Brazil
- Lapis Lazuli from Afghanistan

Real Gemstones
Original Art
Luxury Crystal Healing 
www.covetcrystals.com",0,1
13,13,2022-03-27 08:58:51,"Talisman Inspire Pendant

Gemstones
- Blue Amazonite from Brazil
- Amethyst from Uruguay
- Lapis Lazuli from Afghanistan

Real Gemstones
Original Art
Luxury Crystal Healing 
www.covetcrystals.com",0,2
14,14,2022-03-26 20:54:20,"Talisman Inspire Necklace 

Gemstones
- Blue Amazonite from Brazil
- Amethyst from Uruguay
- Lapis Lazuli from Afghanistan

Real Gemstones
Original Art
Luxury Crystal Healing 
www.covetcrystals.com",0,3
15,15,2022-03-26 20:51:12,"Talisman Inspire Necklace 

Gemstones
- Blue Amazonite from Brazil
- Amethyst from Uruguay
- Lapis Lazuli from Afghanistan

Real Gemstones
Original Art
Luxury Crystal Healing 
www.covetcrystals.com",0,2
16,16,2022-03-26 16:06:51,"Talisman pendants.
Perfect gifts ✨

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,5
17,17,2022-03-26 11:54:06,"Talisman Necklaces. 
A new classic.

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,4
18,18,2022-03-25 21:21:48,"Talisman Necklaces. 
A new classic.

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,11
19,19,2022-03-25 16:50:48,"Seeing is believing.
Our #ccjgirls are always amazed at how much better CCJ jewelry looks in person. 
Thanks for your joy and love 💕 

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,8
20,20,2022-03-25 10:35:28,"Happy #deets 

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,6
21,21,2022-03-24 23:02:10,"CCJ jewelry & Cartiers with superbabe @lecinlurvee 😘😘

Real Gemstones
Original Art
Luxury Crystal Healing 
www.covetcrystals.com",1,20
22,22,2022-03-24 15:11:37,"Pillow Bracelet 

Gemstones
-Unakite
-Agarwood

For health, relaxation and swag
🤎💚

Real Gemstones 
Original Art 
Luxury Crystal Healing 
www.covetcrystals.com",0,3
