,index,date,caption,comments,likes
0,0,2022-03-29 14:56:50,"Hands up if you love Pink Amethyst 🙋‍♀️🙋
.
.
.
.
.
#pinkamethyst #pinkamethystdruzy #pinkamethystgeode #pinkamethystcrystal #pink #crystalcollection #crystallovers #crystalhealing #smallbusiness",0,17
1,1,2022-03-29 12:21:07,"Pink Amethyst Mermaid Tail 🧜‍♀️

It's gonna be a dazzling and dreamy night 😍

Available on Live Sale — 31st March, Thursday, 7.30pm
.
.
.
.
.
.
#pinkamethyst #pinkamethystgeode #pinkamethystcarvings #pinkamethysttower #pinkamethystdruzy #crystals #crystalhealing #crystallovers #crystalcollection #crystalsg #littlemermaid",0,42
2,2,2022-03-28 13:01:11,"Pink Amethyst — Druzy edition ✨

Special ones in this collection and looking so fine 👌

Available on Live Sale — 31st March, Thursday, 7.30pm
.
.
.
.
.
.
#pinkamethyst #pinkamethystgeode #pinkamethysttower #pinkamethystdruzy #crystals #crystalhealing #crystallovers #crystalcollection #crystalsg",0,40
3,3,2022-03-27 17:57:22,"Pink Amethyst 💖💜

Beautiful pastel lavender, pinkish, orangey peach with druzy pockets... Falling in love everytime I picked up each piece to check them out 😍👀 

Available on Live Sale — 31st March, Thursday, 7.30pm",1,59
4,4,2022-03-14 15:55:24,"Calm energy 😌🌴

From brown sand to the pastel blue sky with cotton candy clouds ☁️ 

As a calming stone, Caribbean Calcite encourages us to live in the present moment. It offers relief from stress and anxiety. 

Available on Live Sale — 17th March, Thursday, 7.30pm",0,39
5,5,2022-03-13 14:38:31,"Those glittery sun rays... 

They definitely deserve a reel on its own 🥺",0,22
6,6,2022-03-13 14:14:31,"Crazy amount of sheen on these hand picked Amazonite — don't you think they look like the sun glitters when sunlight reflects from the surface of the sea? ✨🌊

Swipe to see the the gorgeous sheen 🤤

Available on Live Sale — 17th March, Thursday, 7.30pm",1,25
7,7,2022-03-12 17:58:23,"Always loving the calming and gentle energy from Carribean Calcite 🌊

Let's head to the beach, shall we? 🏖️

💙 Live Sale — 17th March, Thursday, 7.30pm",1,84
8,8,2022-02-20 13:55:12,"💖 PINK AMETHYST 💖
LIVE SALE - 25th Feb | Friday, 3pm | 30% SALE!

Pink Amethyst Double Terminated
Pink Amethyst Towers
Pink Amethyst Massage Wands
Pink Amethyst Mini Hearts
Pink Amethyst Lucky Clover
Pink Amethyst Cactus
Pink Amethyst Tapered Hexagon
Pink Amethyst Free Forms

#pinkamethyst #amethyst #crystal #crystals #crystalsg #sgcrystal #smallbusiness #sale #salesg",0,154
9,9,2022-02-19 01:49:10,"[Behind the Scene] Packing Packing Packing ♥️ Thank you got the continuous support, we love packing every single parcel! 🥰",0,38
10,10,2022-02-17 15:22:25,"Infused Purple Jade & Moonstone Crystal Tray 
Infused Strawberry Quartz & Moonstone Crystal Tray
Available at LIVE SALE this Saturday. 19/02
See you :) 

#crystals #crystalsg #crystalcommunity #supportlocal #crystal #igsg #resin #kraft #handmade #personalised #healing #resintray #craft #jade #handicraft #passion #spiritual #luck #love #homeware #homedecor #interiorstyling",0,52
11,11,2022-01-21 14:24:11,"【Labradorite】LIMITED !
 MUST SWIPE ➡️ NEXT !

And our prettiest & sheen-est Labradorite have landed! 

We waited really long for these babies to come and they are in limited pieces :) 

See you tonight!!! 
21st Jan 2022, 7PM !!!

#crystalsg #sgcrystals #crystals #crystal #labradorite #healingcrystals #healingstones",0,96
12,12,2022-01-20 21:10:50,"[𝗚𝗜𝗩𝗘𝗔𝗪𝗔𝗬]  HUAT HUAT GIVEAWAY  COLLABORATION WITH @shopkustomise TO MAXIMISE YOUR HUAT LEVEL IN THIS CNY 🧧🧨

We are giving away to 2 Lucky Winners:
X1 HUAT PINEAPPLE ORNAMENT + X1 FATED HUAT POUCH (YELLOW JADE YUANBAO AND MINI SPHERE)

X1 DARUMA ZODIAC WOOD COASTER + 
X1 FATED HUAT POUCH (YELLOW JADE YUANBAO AND MINI SPHERE)

How to Join:
1. Follow both @fated.itis and @shopkustomise
2. Like this post!
3. Tag your banluck / bacarrat / mahjong / poker kakis! 🎲🀄
4. Share this post on your IG story and tag @fated.itis and @shopkustomise for bonus entry!
5. Tune in to our IG Live on Friday (21 Jan), 11:55PM to know if you win.
⚡𝗪𝗶𝗻𝗻𝗲𝗿𝘀 𝗵𝗮𝘃𝗲 𝘁𝗼 𝗯𝗲 𝗮𝗿𝗼𝘂𝗻𝗱 𝗱𝘂𝗿𝗶𝗻𝗴 𝗟𝗶𝘃𝗲⚡

Multiple entries allowed. Giveaway ends on Friday (21 Jan), 10pm (GMT+8). Giveaway is open to individuals residing in Singapore only. IG Profile has to be set to public.

HUAT AH! 🍍🍊🍊",70,93
13,13,2022-01-20 11:40:01,"【Gem Lepidolite】

Gem Lepidolite is the stone of transition & peace. It speaks of gentle sweet nurturing power and stability to the soul.

Specially brought in from Russia, rare in Tower form; Lepidolite is known to clear blockages & connecting to your inner self :) 

Side note, 
I love the FULL sheen body!

Join us for a mindfulness night!
21st Jan 2021, 7pm 🕊

#crystalsg #crystal #crystalshop #healingcrystals #igsg #lepidolite #gemlepidolite #sgcrystals #sgcrystalshop",0,46
14,14,2022-01-19 11:14:09,"【Blue Scheelite】

Blue Scheelite also known as Lapis Lace Onyx is a rare stone mined in Turkey.

It helps to fend against high pressured tension and allow owner to be strong to meet expections. Especially mental tiredness from work place politics which drains your energy; using Blue Scheelite as an amulet.

Power up with Blue Scheelite!
Friday, 21Jan 2022, 7PM!!! 

#crystal #crystalsg #crystalhealing #crystalshop #igsg #scheelite #bluescheelite #bluelaceonyx",1,126
15,15,2022-01-18 21:49:10,"【Muscovite】

Muscovite Palm stone will elevate and stimulate your mind/brain’s full potential by boosting your confidence while easing tension, in a result, able to better asses the issue/problem on hand

See you 21st Jan, 7pm!!

#crystalsg #crystals #muscovite #igsg #crystalhealing #crystallove",1,52
16,16,2022-01-17 11:05:38,"【Stones of Mind Power】

Ready for these rare & beautiful stones from Turkey and Russia?

This week’s feature focus on your mind, body and soul to boost your pathway to smooth success in work & life. 

Empowering the owner to not only be strong in mentality, also at the same time, stabilising the soul & managing tensions.

See you this Friday!
21st Jan 2022, 7PM !!

Main Live Table:
- Gem Lepidolite Towers 
 (rare + glittery )
- Scheelite Towers (rare)
- Muscovite Palm (rare + glittery)
- Seraphinite Slabs (rare) 
- Labradorite (crazy sheens!) 
 (rainbow/purple/pink/blue sheens!) 

Aside Table Menu: 
- Yellow Jade Ingots
- Yellow Jade baby spheres 
 (new price)
- Brazil Citrine (high grade)
- Moss Agate Towers
- Golden Healer (high grade) 
- 升官发财 Career & Advancement

And join in our new Emoji Challenge game to win gems home!! All are welcome to join the fun!!!! 
 
#crystalsg #lepidolite #seraphites #scheelite #labradorite #crystals #gemstones #brazilcitrine #sgcrystals #healinggemstones",1,76
