,index,date,caption,comments,likes
0,0,2022-03-27 22:56:22,"IYKYK 😂😂😂 Comment which is smaller (left or right) and don’t say anything else 🙊

#sgcrystals #sgcrystalshop #sgcrystalseller #sgcrystalhealing #healingcrystals #crystalhealing #sgsmallbusiness #sgbusiness #citrinesphere #citrine #citrinequartz #manifestation #abundance #prosperity #success #crystalsphere #spheres #iykyk",10,115
1,1,2022-03-27 14:29:17,"🪶🪶🪶

Black obsidian raven with silvery shimmers on its wings✨ Love documenting statement pieces like these, so that I can look back on them 😍🖤 

Sold! If you have interest in something similar, DM me!

#sgcrystals #sgcrystalshop #sgcrystalseller #witchycrystals #witchy #witchesofinstagram #statementcrystals #raven #blackobsidian #obsidian #silverobsidian #protection #grounding #blacktourmaline #mica #darkcrystals #healingcrystals #crystalhealing #crystalsofinstagram #crystalsingapore",2,-1
2,2,2022-03-21 19:33:44,"💀💀💀

#blackobsidian #crystalskull #crystalskulls #skulls #sgcrystals #sgcrystalshop #sgcrystalseller #sgcrystalhealing #skulllover #obsidian #sgsmallbusiness #womenownedbusiness #crystaltok #witchtok #witchycrystals #witchy #magick #magickal #witchesofinstagram",4,56
3,3,2022-03-21 18:57:29,"“𝔗𝔢𝔩𝔩 𝔪𝔢, 𝔄𝔱𝔩𝔞𝔰.
𝔚𝔥𝔞𝔱 𝔦𝔰 𝔥𝔢𝔞𝔳𝔦𝔢𝔯:
𝔗𝔥𝔢 𝔴𝔬𝔯𝔩𝔡 𝔬𝔯 𝔦𝔱𝔰 𝔭𝔢𝔬𝔭𝔩𝔢’𝔰 𝔥𝔢𝔞𝔯𝔱𝔰?”
-Howling at the Moon (Darshana Suresh)

Black Obsidian skull just arrived in our HQ 🖤 
3 available! DM to purchase 💀",4,128
4,4,2022-03-20 21:09:48,"Forever thinking about this beauty that sold 🥺✨🌏 

#oceanjasper #oceanjaspersphere #sgcrystals #sgcrystalshop #sgcrystalseller #sgcrystalhealing #oceanview #earthportraits #universe #universehasyourback #rembrandt #rembrandtlighting #earth #womenownedbusinesses #crystalsofinstagram #crystaltok #witchtok #sgsmallbusiness #universe #world #worldwide #crystalworld",0,43
5,5,2022-03-20 20:35:48,"🕊 𝔭𝔯𝔬𝔱𝔢𝔠𝔱 𝔞𝔫𝔡 𝔯𝔢𝔩𝔢𝔞𝔰𝔢 🕊

This little bundle was created with the intention to shield you from negative vibrations and to release all that does not serve you such as emotional trauma, old wounds and negative self-talk. 

🖤 𝔰𝔪𝔬𝔨𝔢𝔶 𝔮𝔲𝔞𝔯𝔱𝔷 
🖤 𝔭𝔦𝔫𝔨 𝔞𝔪𝔢𝔱𝔥𝔶𝔰𝔱
🖤 𝔥𝔬𝔴𝔩𝔦𝔱𝔢

If you’re ready to let go of emotional baggage, and instil a sense of calmness + stillness in your life, DM me✨",0,-1
6,6,2022-03-17 20:51:21,"✨𝔟𝔩𝔦𝔫𝔡𝔢𝔡 𝔟𝔶 𝔱𝔥𝔢 𝔩𝔦𝔤𝔥𝔱𝔰✨

#sgcrystals #sgcrystalshop #sgcrystalseller #sgshopping #sglocalbusiness #sghomedecor #crystaltok #witchtok #crystalsofinstagram #witchesofinstagram #spirituality #bluetigereye #tigereye #chatoyance #gems #gemstones #womenowned #crystalsmallbusiness #girlbosslife #girlbosstribe",5,116
7,7,2022-03-16 18:14:47,"⚪️ 𝔭𝔞𝔭𝔢𝔯 𝔨𝔦𝔱𝔢 𝔟𝔲𝔱𝔱𝔢𝔯𝔣𝔩𝔶 𝔵 𝔤𝔞𝔯𝔡𝔢𝔫 𝔮𝔲𝔞𝔯𝔱𝔷 𝔡𝔬𝔪𝔢 ⚪️

Garden quartz is a variety of quartz with many inclusions resembling valleys and mountains just like a scenery 🏔

Sometimes known as shaman quartz, this crystal is useful for both manifestation and meditation. It is excellent for heightening spiritual energies and drawing knowledge from past lives. 

Available for purchase. More pictures on our website 🦋

#sgcrystals #crystalsg #butterflydome #butterflytaxidermy #butterflyart #glassdome #gardenquartz #lodolite #quartz #sgcrystalseller #paperkite #crystalbutterfly #taxidermyart",4,143
8,8,2022-03-15 23:46:27,"🌒 𝔬𝔳𝔢𝔯 𝔱𝔥𝔢 𝔪𝔬𝔬𝔫 🌘

#sgcrystals #crystalsg #sgcrystalseller #labradoritemoon #labradorite #moon #crystalsphere #spirituality #crystalsofinstagram #witchesofinstagram #crystaltok #witchtok #mooncraters #womenempowerment #womenowned #womenownedbusiness #sgshopping #gemstone #moonlight #nightsky #mooncrystal #crystalmoon #flashy",20,239
9,9,2022-03-12 20:48:46,"☠️ 𝔯𝔞𝔳𝔢𝔫 𝔰𝔨𝔲𝔩𝔩𝔰 ☠️

If you identify with the raven spirit animal, here are some of the symbolisms associated with it:

🖤 𝔦𝔫𝔱𝔢𝔩𝔩𝔦𝔤𝔢𝔫𝔠𝔢
🖤 𝔞𝔡𝔞𝔭𝔱𝔞𝔟𝔦𝔩𝔦𝔱𝔶
🖤 𝔱𝔯𝔞𝔫𝔰𝔣𝔬𝔯𝔪𝔞𝔱𝔦𝔬𝔫
🖤 𝔭𝔞𝔯𝔱𝔫𝔢𝔯𝔰𝔥𝔦𝔭𝔰
🖤 𝔤𝔲𝔦𝔡𝔞𝔫𝔠𝔢
🖤 𝔭𝔯𝔬𝔭𝔥𝔢𝔠𝔶
🖤 𝔯𝔢𝔟𝔦𝔯𝔱𝔥
🖤 𝔴𝔦𝔰𝔡𝔬𝔪

With the raven’s keen eyesight, this spirit animal will guide you through transition periods and enhance your third eye 👁 If you do spot signs of the raven, know that you’re ready to ascend higher and magic is comin’ your way 🪄 

Yellow Tiger Eye and Lapis Lazuli raven skulls are available! DM to enquire 💛💙

#sgcrystals #sgcrystalshop #sgcrystalseller #ravenskull #raven #spiritanimal #spiritualawakening #transformation #spiritguides #crystalhealing #healingcrystals #tigereye #lapislazuli",2,-1
10,10,2022-03-12 18:38:34,"Reminiscing last year’s Valentines Day launch 😇💕 

#sgcrystals #sgcrystalshop #sgcrystalseller #sgcrystalhealing #healingcrystals #spiritualityawake #labradorite #crystalcarving #witchesofinstagram #witchtok #crystaltok #crystalsofinstagram #womenownedsmallbusiness #sgsmallbusiness #manifestyourlife #crystalsg #sgshopping #rainbowcrystal #rainbowlabradorite #valentines #dreamy #spiritualhealing #alternativehealing",1,80
11,11,2022-03-08 21:21:21,"“𝔪𝔦𝔡𝔫𝔦𝔤𝔥𝔱 𝔤𝔩𝔬𝔴” 🔮

Peep our exclusive collaboration with @blackcrow_taxidermy on our website!✨ Some of these bewitching blings are on their way to new homes, while some others are patiently awaiting for their chosen owners 🖤 Link in bio!

Hand beaded by 𝔪𝔞𝔪𝔞 𝔫𝔬𝔠𝔱𝔢, morpho adonis butterfly pendant by Vivian🦋",7,-1
12,12,2022-03-07 16:03:05,"𝔟𝔲𝔱𝔱𝔢𝔯𝔣𝔩𝔶 𝔵 𝔠𝔯𝔶𝔰𝔱𝔞𝔩 𝔡𝔬𝔪𝔢 🦋

Featuring aura quartz cluster with the cutest little yellow butterflies from @blackcrow_taxidermy 💛

Love the play of the reds and yellows as they complement the iridescent aura colors on the quartz✨

Only 3 available on the site tonight, 7pm!

#butterflydome #taxidermy #taxidermyart #butterflytaxidermy #crystaldome #crystals #auraquartz #taxidermyjewelry #witchesofinstagram #sgcrystals #crystalbutterfly #sgcrystalshop #sgcrystalseller #sgcrystalhealing #sgflowers #flowerart",0,-1
