,index,date,caption,comments,likes
0,0,2022-03-26 19:48:29,"join us on tues 29th march, 8pm!!✨

-pegmatite obelisk
-crazy lace agate tower
-green fluorite tower
-prehnite tower / heart
-sphalerite sphere
-blue fluorite sphere
-carnelian sphere
-trancas slab
-pegmatite freeform
-blue tiger eye freeform
-ocean jasper coins
-amethyst heart
-onyx mushroom 
-raw purpurite

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,69
1,1,2022-03-19 18:35:37,"join us on tues 22 march, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,77
2,2,2022-03-12 16:15:47,"join us on tues 15th march, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,76
3,3,2022-03-05 16:24:04,"38% ALL AMETHYST EGGS IN CELEBRATION OF INTERNATIONAL WOMEN’S DAY!👸🏻

join us on tues 8th march, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,114
4,4,2022-02-25 21:25:26,"join us on tues 1st March, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,136
5,5,2022-02-12 18:04:34,"ACCESORIES 50% OFF MEGA CLEARANCE FROM MONDAY - WEDNESDAY💍✨

we will be closing down monday accessories for the time being so here’s a mega 3 DAYS SALES! 

🗓schedule:
🔸monday 14th feb, 8pm:
normal beads bracelets & hair accessories 

🔸tuesday 15th feb, 8pm:
 charmies, pendants & earrings

🔸wednesday 16th feb, 8pm: customised bracelets & necklaces

follow us and turn on the countdown reminder on our story so u won’t miss out ! 💖",10,115
6,6,2022-02-05 18:46:36,"GIVE ANGPOWS LO!!! 💰🧧

join us on tues 8th february, 8pm!!✨

spent above $28 to get qualified for our ang bao draw!!!!!

we’re giving away 15 CASH ANGPOWS:

🧧8 x $8 
🧧3 x $18 
🧧2 x $28
🧧1 x $58 
🧧1 x $88

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,126
7,7,2022-01-21 22:05:27,"PINK AMETHYST 💖💗💖💗

join us on tues 25th january, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",8,177
8,8,2022-01-16 20:08:42,"HUAT TUESDAY!!! 💰🧧🍊

• super 7
• amethyst 
• citrine
• garden quartz
• grey lithium phantom
• alligator quartz 
• rutilated quartz 

join us on tues 18th january, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",0,88
9,9,2022-01-08 21:53:42,"MINI PAKISTAN 🇵🇰 
-specially custom made mini size towers and spheres from pakistan🌈💖-

TUES 8PM: TOWERS & RAWS
WED 8PM: SPHERES & RAWS

join us on tues and wed, 11th and 12th january, 8pm!!✨

Purchase with Purchase (PWP) at the end of every live sales!! 😍 50% off everything on PWP trays! ☺️✨

fun games and lucky draws to win prizes!!!🍀

follow us and turn on the countdown reminder on our story so u won’t miss out! 💖",7,150
