,index,date,caption,comments,likes
0,0,2022-03-30 06:44:19,"☀️📣📣 A recap of our last grand opening workshop hosted by our founder Glenn on 19 March 2022.

💎💎 Join us in our customisation activities this coming weekend and spend sometime to relax and letnyour creativity flow using gemstones and natural minerals. 

🌈🌄 Stay tuned for more updates on our upcoming workshops and activities by following us or downloading our latest GEMSTORY App. 

See you around at our new space this weekend! ❤🎉",0,6
1,1,2022-03-27 00:58:11,"📣📣 Reposting this video again as somehow we noticed that our previous video mysteriously got removed from our posting out of no reason. 🤔

If you are visiting us at Bras Basah and still having difficulties finding us at our new space, follow this simple video to guide you to our new location. ❤😇

Seeya around! ☀️🌈🎉🥰",0,28
2,2,2022-03-26 04:48:32,"☀️☀️ Happy Weekends Ahead!

🌄 Good vibes, good thoughts, good energy!

Shine like a GEM! 💎💎 Believe in the power within! 🧘‍♂️🧘‍♀️🧘

Visit us at our new store this weekend to resonate with the positive energy from mother nature! 😇🌈❤",0,13
3,3,2022-03-24 04:21:13,"📣📣 Have you download our latest Gemstory App? Enjoy a 10% off for your first App check-out when you shop with us this March during our launched month.

💎💎 Sign-up for our intuitive GEM THERAPY activities via our workshops/events menu to join us in these experiential activities in our brand new sanctuary.☀️☀️

Visit our new store to say hello if you have not check out our new space. Seeya around! ❤😇

Gain access to our latest articles and GEMSPEDIA gem directory via our new application today. 🌈💎☀️

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #gemstoryapp #10off #shopwithus #downloadapp #newspace #newinitiative #newofferings",0,6
4,4,2022-03-22 04:25:28,"📣📣 Come and join us to experience a day in our brand new sanctuary to take a breather off from your stressful busy schedules.

🧘‍♂️🧘‍♀️🧘 Allow your mind to relax and flow freely through our guided intuitive GEMS Therapy 💎💎 to help you connect deeper to your inner self and allow your consciousness to expand as we engaged during the activities and resonating with the mother nature's grounding energy. ⚖️⚖️

Register and sign up via our website 
www.gemstory.asia or via our Gemstory app today. 

For any enquiries, you may DM or whatsapp us at 93668836 for more info.

See you around. ❤😇🌈

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #wordofwisdom #positiveenergy #positivevibes #shinelikeagem #connectintuitively #customisation #customisedactivity #relaxandchill #staybalance #thepowerofnature #gemstherapy",0,20
5,5,2022-03-20 14:46:21,"Thank you for joining us on our grand opening! 

We are grateful to all who have helped us last few months in different ways to set up this new space. 

We had a wonderful and fulfilling day catching up with all who had turned up at our opening event yesterday! 🎉🥂🙇‍♂️

It was truly a blessing to be able to still embark on this tranaformational journey at times like this during the most turbulent phase in our history. We are very thankful to everyone who have supported us for so many years since we started out.❤❤

☀️☀️ We will continue to focus on spreading good vibes and positive energy to the public and sharing the power of gems to all in our new space moving forward. 🌈

🌄🌄 We hope to welcome more people and collaborators in due time to our space to grow the community so that we can touched more people who are in tuned with mother nature's energy! 😇

📣📣 Let's continue to harness the power of gems and nature to bring balance and equilibrium to our energetic state and stay grounded this period!

Believe in the power and keep shining like a GEM! 💎💎",0,22
6,6,2022-03-19 13:15:39,Thank You for joining us today at our grand opening today. ❤🙇‍♂️🥰,4,46
7,7,2022-03-19 07:00:53,Catch our Gemstory Ambassadors around Bras Basah today to get a free sure-win spin in our store at our Grand Opening!,0,24
8,8,2022-03-18 02:35:36,"Join us tomorrow with your family when you are around town to engage in a day with great energy and good vibes at our brand new sanctuary! 

📢📢 To celebrate our grand opening, we are extending some very exciting promos to you! 

Register with us now to enjoy free registration! Applies to the 𝐟𝐢𝐫𝐬𝐭 𝟐𝟎 𝐩𝐚𝐱 𝐨𝐧𝐥𝐲. 

Gemstory Grand Opening Day-Special Talk by Glenn 

𝐃𝐚𝐭𝐞: 𝟏𝟗𝐭𝐡 𝐌𝐚𝐫𝐜𝐡 𝟐𝟎𝟐𝟐 (𝐒𝐚𝐭) 
𝐕𝐞𝐧𝐮𝐞: 𝐁𝐫𝐚𝐬 𝐁𝐚𝐬𝐚𝐡 𝐂𝐨𝐦𝐩𝐥𝐞𝐱, #𝟎𝟐-𝟎𝟓 
𝐓𝐢𝐦𝐞: 𝟏𝟏𝐚𝐦 (𝐫𝐞𝐠𝐢𝐬𝐭𝐫𝐚𝐭𝐢𝐨𝐧 𝐬𝐭𝐚𝐫𝐭𝐬 𝐚𝐭 𝟏𝟎.𝟑𝟎𝐚𝐦) 

Swipe for more info! 👉👉

⭕️⭕️ 𝙍𝙚𝙜𝙞𝙨𝙩𝙚𝙧 𝙝𝙚𝙧𝙚: 👇👇

https://bit.ly/3ib9JlH

𝙁𝙤𝙧 𝙄𝙂 𝙖𝙘𝙘𝙚𝙨𝙨 𝙧𝙚𝙜𝙞𝙨𝙩𝙧𝙖𝙩𝙞𝙤𝙣 𝙡𝙞𝙣𝙠 𝙖𝙫𝙖𝙞𝙡𝙖𝙗𝙡𝙚 𝙖𝙩 𝘽𝙄𝙊 𝙋𝘼𝙂𝙀 🔆▶️

Let the good times roll. Be sure to stop by, we can’t wait to see you at #02-05! 🎉🥂",5,31
9,9,2022-03-17 08:42:56,"We have been working hard last few months to launch our latest GEMSTORY mobile app. We are happy and excited to announce the launch of this brand new offering to all which is also in line with our new store opening this March.

Receive a 10% Off (10OFF) YOUR FIRST APP PURCHASE when you shop with us via the new app this coming month.

Download our latest app on Play Store and Apple Store to be part of our GEMBUDDY community. You will get latest updates on our upcoming events and workshop highlights as well as special promotional offers on our online store.

Gain access to our latest wellness tips updates and GEMSPEDIA gem directory via our new application.

Download here 👇 or link available at our bio page.
https://gemstory.onelink.me/zyhB

#gemstory #gemstorysg #gemstoryasia #gemstoryboutique #gemstorybrasbasah #gemstorybrasbasahcomplex #thepowerofcrystals #believeinthepowerwithin #gemstoryapp #10off #shopwithus #downloadapp #newspace #newinitiative #newofferings",0,19
