,followers
0,trinity_jn
1,pigguincrystals
2,crystals_woof
3,christalizedd
4,sp1cyer
5,subtlewows
6,itz.mons
7,rootbeerfloatt
8,yayanstones8139
9,crystalrock81
10,lua8279862019
11,nanacrystalshopping
12,top.polished
13,mhyyp
14,peanutbutterflies
15,efscalice
16,moonhuexx
17,lavel7
18,13ponies
19,kkeslyn
20,jasmine.tealeaf
21,the_zen_of_pisces
22,bunwithmilkshake
23,huiyun_tan
24,acnh.meow
25,degan_gems_minerals
26,ruijialovesfries
27,c.heeeryl
28,ninehues
29,mshumanballoon
30,rachelll078
31,trish_from_tx
32,tinggwenn
33,cherylchuaaaa
34,samanthaxong
35,mycrystalbabies1111
36,gemstones_00
37,kath3rine
38,stoneyloony
39,cryanodine
40,ireallyliketomatofish
41,saffronnginger
42,keeembrrrly
43,d.laurel3
44,dtan724
45,rah.crystals
46,janielletyx
47,natan_tyw
48,mrcs_1505
49,olmi.crystals
50,meowwshanwang
51,thriftycarr0t
52,maggie.osl
53,desorption
54,bewwypuddles
55,mineralmagic1
56,sher12tan
57,rayazullah_safi_enterprise
58,vivien_tan
59,4ten3
60,labarraderesina
61,crystal_wholesale_stone_shop25
62,buaytahansia
63,girellianfranklian
64,sherminwu
65,nzdd_xd
66,foxxymonstrr
67,urlovingsecretsanta
68,crowncrystalsshop
69,ugun_crystals
70,summerxuelove
71,therocky.crystal.003
72,beeee_crystal08
73,yingyingzhanng
74,chloefenny
75,sandratay08
76,hazziie
77,jslnpoh
78,ssnowballz
79,ichacrystalwholesale
80,ladotc
81,happyashappydoes
82,afterhours.sg
83,meow.meowpi
84,nvtvsya
85,the_crystals_bank
86,niracrystal_wholesale
87,agatecrystal2022
88,crazy_crystalshop
89,crystalsanti.id
90,tyrellpretoius
91,mindstylish_
92,moonieknots
93,limyujun
94,agnessal
95,katiemegxo
96,boobluebabe
97,mystery_businesswoman
98,dahliaxcrystals
99,clouds_of_crystal
100,almacrystal_shop
101,brbsearchingforareasontocare
102,lumi.crystals
103,eomma.jewellery
104,ardistore16
105,kailing90
106,vvivvien_
107,stephanieyyl_
108,misty.crystals
109,tesssass
110,crystalsandchips
111,abcmehh._
112,graystals
113,gemistry.co
114,fodepalate
115,baejingg
116,keizel.w
117,nicole_tanyx
118,chrystalteooo
119,gui_enabler
120,dawnlims77
121,ardiayf
122,binsongemsand
123,littlejadestory
124,nanachanzz
125,satansation
126,hhwb4991
127,joyytzu
128,bearisquishy
129,carinpang21_
130,lumiere47
131,jlynxe
132,mabsbao
133,alice.crystals
134,sharon149
135,niao.mi
136,sabbautumn
137,shutupdino
138,pocketfullofpink
139,hazinsingapore
140,_iamanelldaa
141,curlytravelmess
142,stono_omnia
143,brenb0t
144,gemmybar.co
145,magpieandgiggles
146,yingyulee
147,crystxlwxlf
148,hisokabloodlust
149,summertwentyy
150,zzzhixuannn
151,emi.sau
152,angelus_en_noir
153,pebbbless
154,candycrystals.sg
155,ferlynz
156,gia.6672
157,fallxn.crown
158,ohsparkle.ling
159,dumpinglingme_
160,konikana09
161,jiygnij
162,crystalwerkz
163,cookiethelonghamster
164,screamforgems
165,lyrahs_
166,totoro_secretgarden
167,elocinsherry
168,__crystal_shop2022
169,xineri
170,jy.jzx
171,kopimamama
172,simplyprincessy
173,cluck.d.chicat
174,wubbishbean
175,_gemstones028
176,christinemjhda
177,shuettie
178,dreamfarfaraway
179,radio_ming
180,ofstarsandtears
181,tiutii
182,aehlzzzz
183,oilsome.mesh
184,kristykylie
185,diooryy
186,shortbutnotshort
187,axiaphia
188,cxlxise
189,sipsofsunlight
190,sara__aloha
191,gracespooop
192,lindanfeng
193,ohnyzuu_
194,honeypawtcrystals
195,vanny.toh
196,jayce.yui
197,the_polihsed
198,crystalynz
199,zz.unicorn
200,dyans_gemstone_crystalshop
201,6lue.lily
202,meltsinpink
203,cherx3_
204,ssyw10
205,csceleshellc
206,wenxuan_
207,monica.scf
208,vel_mood
209,tzz3.xii
210,hazziielite
211,userq55555
212,mocchel84
213,gemstone.riyan
214,joanne.csh
215,gabriel.chew
216,taoreethnic
217,xjq.jiaqi
218,hav35aith
219,uniquelyjolyn
220,dcheekymonkey
221,angelinetmq
222,erinamtan
223,dorothieeeee
224,_sssach
225,graceechiaa
226,xiaotoot
227,pipipiyong
228,ohdaisies
229,sherminhx
230,emilychewem
231,mian.bao
232,kneehoemah
233,spectaculent
234,superrcarmen
235,hantucheena
236,larissaawan
237,iamronns
238,ojiamin
239,al________lc
240,crystal_wiliamm_agate
241,shrimpletown
242,audaciouslyyours
243,baetch.es
244,evelohck
245,benawsx
246,elenamarie
247,jnyh11
248,sherms.2314
249,lor_dstone
250,aprilstardust
251,mellymeowz
252,angiesnowy
253,reginanuggetlay
254,nicolepigka
255,jacqwyl
256,littlemsedna
257,derrick_lee_
258,dyannasaur
259,nata__c.collect
260,pamgabkay
261,babycoolkids.s
262,vivianviina
263,nickeroons
264,susi_crystal_stone
265,crystalkamran
266,crystalshop_warehouse
267,nuggetssforlife
268,abasi_gemstone
269,kitteekrystals
270,crystallizesg
271,mysticalcrystalseller
272,smiling_face_crystal
273,babar_gems
274,sial.gemstone_mineral
275,corlisschiu_
276,magic_crystal2
277,halim.stone_sukabumi
278,crystal_gems786
279,crystal_muhlis
280,crystal_jampang
281,huatspau
282,ahay_stone29
283,colorful_rainbow_crystal
284,mintstripes
285,mtdulangon_23
286,floylim
287,agatestore_indonesia
288,ilovecrystal243
289,various3018
290,crystal_minerals95
291,born4art
292,faithdababie
293,jasminehow
294,jana_podmajerska_izakova
295,jumaedincrystalshop
296,id.rather.be.thrifting
297,kwiyomicrystals
298,asolitarythread_
299,fortunebaobao
300,eyjafjallasherkull
301,crystal_wholesaler_ann
302,libyandesert_glass
303,crystallover9080
304,cinnabarhn
305,genanabanana
306,kayweiwei
307,shot.by.the.gram
308,indonesianagateseller
309,gemstone_business1
310,zsara_boyko
311,pinkcrystalic
312,crystalsparklescandles
313,khan_mineral_stone
314,justwannachill2022
315,elain_09
316,steph_wongwy
317,397nanami
318,goodthingsandgoodlifearemine
319,shop_crystalagatestone
320,lord_buddha_stones_an_minerals
321,phosphosideritebae
322,sundiansyahsundiansyah
323,heidi_tannnn
324,marchtan
325,lnrhrrtl
326,graciegoesplaces
327,psjaco___
328,witchwaytheearthspins
329,gems_street_associate
330,pearllfy
331,elvyembee
332,gemstreet.20
333,rockberline
334,crystalsjava
335,angelkrystaling_
336,kayiz
337,crystalexchia
338,afiqah11_
339,82bigstone_production
340,milomuf
341,isabellekoh_
342,chubb.sg
343,jontehsq
344,_c9ookie_
345,maiyamuhriz
346,j3nniiiiiifeer
347,lunariouschick
348,whyy.crystals
349,sillyyar
350,bs_gems_minerals
351,pais.alakmal
352,lolololbutno
353,susksksks12
354,nontired
355,luhrainetan
