,followers
0,michellescrystalsandlight
1,bullterrier444
2,lilijj
3,mi_chelle1310
4,krispykremmeeee
5,devinegems2015
6,sy.instame
7,bloomingaromas
8,gladysstories
9,bebe_ducks
10,greyschua
11,r_xdical
12,pais.alakmal
13,crystal_minerals12
14,czisheng
15,crystalkamran
16,shawna.boger.9
17,madtannn
18,anabelenbadilloroque
19,starlitcanopy
20,crystal_agate.shop
21,narecdiamond
22,cemal_calskan
23,zannwanxin
24,xxjayleyxx
25,saad_khan_durrani
26,courtneyleefunk
27,makkachinsquish
28,choopheng
29,sheisxuan
30,popo.wong.754365
31,aman_crystals
32,premiumcrystalshub
33,st.one4116
34,bernard_birt
35,azl7242
36,joellendillow
37,jenaripie
38,liyeeeeeeeeee
39,ags4658
40,itz.mons
41,bhe_irannnn
42,felicianicole_xii
43,mezelf_11
44,sookyliu
45,the_dragons_hoard_llc
46,ailinhuang98
47,verniktruf14
48,kagemstone
49,crystal_seller_fiona
50,shazoo_666
51,lupus_nix_crystals
52,cadescrystals
53,artgrethazombie_
54,billiggustavo
55,sherwali.gems_collection
56,azlan_rockstore
57,darmagalihromi
58,nadjakribbeler
59,nataliemarie338
60,geethaeddie
61,vishnutanwar1992
62,property_of_crystalgems
63,lovingtherocks
64,lemonandgingerwellbeing
65,sopaa_mrw1221
66,diana.fungki.90281
67,bijoux.joya
68,jasmineoyc
69,swirlsofshereen
70,katchifuzo
71,blackdevil_boy_
72,joanne.oyl
73,seli_na1903
74,picnicbythegreens
75,chabochone_for.sale
76,thequeen_princesses
77,urielminerale
78,bforburrrito
79,davitcrystals
80,unknownpetson140508
81,intuitive_crystal
82,crystals_world_shop
83,javacrystals93
84,crystal_stone_wholesale
85,zqlau
86,gloomy.daze
87,vanitha77
88,md10876
89,ma.gdalena4597
90,skylers_spells_charms
91,cocobabycake
92,quality_minerals33
93,semegou
94,loud.n.shine_precious
95,relmore1626
96,krystallized.lynx
97,du3548
98,heyclwx_
99,daffyduck0213
100,fusaodosagrado
101,by_janelu
102,sunflowerapothecary
103,hantres.sofia
104,shaaaniceee_
105,christalizedd
106,marlie__draws
107,valhobbies
108,sakilovelydancer
109,ferlynz
110,thegemlady888
111,conscioustrading
112,wbpauline
113,barnaclebarnabas
114,tiastreasuresxo
115,_minerals_gems_crystals_house
116,lovelycrystals888
117,heyellz
118,mysticeyeartisans
119,brichalfsss
120,etui.trove
121,druzylite
122,all.crystalstone
123,virtanen_annika
124,holy.macaroni_o.o
125,degan_gems_minerals
126,pearllfy
127,anythingkk
128,ichacrystalwholesale
129,mijangemstone
130,umiscrystals
131,bharati33.33
132,ruijialovesfries
133,vany.duran.9
134,inselunity
135,licybanks
136,nadia.mutha.four
137,liannnnnnnn
138,henrykandc
139,kinda_lov3ly
140,scar_the_baby__witch
141,osva_23_08
142,hbsh.shr
143,tryptamine24
144,luxerecoveryrx
145,mleapalermo
146,__this.little.light
147,_melindaamarquezzzz
148,samanthawho1988
149,sarina.sloths
150,figueroacinti
151,valenfiora
152,aysha.rita
153,lislane0010
154,samiranideva
155,synniahshanice
156,crystal.live.store
157,getyourrocksoff22
158,zer3ndipity
159,ninja_abhaya
160,perfectly_imperfect_o7o
161,mckenzie.leaha
162,shadsgems
163,eliahc_2004
164,lacrymoxa
165,shahzadgems1
166,c4uinvitaciones
167,sonya_quartz6
168,john_d33
169,alshafa51
170,hss_gems
171,ll_ml1s
172,wulfric_destash
173,natalie.oshaana
174,meooowtastic
175,pendant_polished
176,angieford2021
177,kuxtal.joyeria.artesanal
178,derpywolfboi_yt
179,ma.rissa10
180,summervictoriaartistry
181,jefersonsilvacamargo
182,courtneyscrystalcastle
183,crystalsspage
184,westhewool
185,malfatihstone07
186,lucas_sizney
187,vcd.jah
188,kiera777
189,karem_quintana
190,cheer_vici
191,male_jwj
192,marimer.83
193,paulenaboudreau
194,shannonrushton28
195,lovelovelaugh369
196,mandamanning74
197,melissaakjy
198,zofteye11
199,klarree
200,soulfulabundance
201,mozza_art_crystal
202,nana_crystals_
203,sara_jgryss
204,itsmeabbbbyyyy
205,mistyghileman
