,followers
0,calmserene0604
1,dyannasaur
2,crystalize_frezz
3,eindahsaraswatie
4,lyrahriraoh
5,kaatzdavid
6,4ten3
7,labarraderesina
8,evelynprentiss111
9,jillianhong
10,niracrystal_wholesale
11,aysha.rita
12,art_asia_sg
13,reenupanday
14,selina.toh
15,miracle_of_crystal
16,ohhmandyy_
17,josephinefengshuipractitioner
18,kellycrystalcollections
19,thetampest
20,infinitesweetlife
21,deviyogasg
22,meannime.shelby
23,aenraipn023
24,fei_mousee
25,rockconcert.sg
26,cw2670
27,jeanong7952
28,orchid.garden_
29,yumi8022
30,the_silver_soul
31,cheryldesiree
32,weisin_cynthia
33,emtanrx
34,fengmi_f47
35,wilson_2306
36,dani.bs6
37,weecher0123
38,bs_gems_minerals
39,lighthousehealing.co
40,surfskateruff
41,boor_polished_stones
42,sillylittledickinfection
43,audreynowonder
44,_catherine88chong_
45,piyukitan
46,crystal_anda_jewellry
47,ani_ta_manandhar
48,foxy.alchemist
49,cake_spade
50,icandiw
51,jax.crystal
52,faithdababie
53,yadventurer13
54,giti.tin
55,x.reefa
56,clearlookcrystals
57,joyember2
58,kasbanifitness
59,muimui88.ng
60,kitteekrystals
61,chriscrystal_charms
62,i_am_ms_lala
63,wwl_cherry
64,crystal_muhlis
65,mengchuan
66,kokomiusagi
67,barnaclesss
68,aprilia_crystal
69,melirobs
70,malekstone_agate
71,lynda.nursah
72,sophia_arnatheartist_
73,dandelion.cas
74,ellleyf
75,paulinepeng17
76,magcheezecake
77,northern_crystals_stone
78,yi.sheng.suo.ai
79,carolinalim
80,e.t.t.1.2.3
81,leephaikkuan
82,enghong10
83,8nline.sh8pping
84,drizzles04
85,jenni_ong
86,intergalacticstardust
87,fizaarifin
88,westjava_energy_eartcrystal
89,gracykwek
90,shirleygsp
91,lapidary.magpie
92,noor.oor.or.r
93,lin_mei_shan
94,lakshminadarajah
95,pjrollinson
96,sxcjy
97,princeleng
98,jillianzhen
99,ichbinlauftag
100,haaz_gems
101,d0lli33
102,shirley20182018
103,tslonboard
104,dellynursah
105,nurulhudaismail
106,missxiv
107,princess_meizhu
108,rockthatgem_
109,caiweichloe
110,bubblesbtt
111,blue.sky.great
112,greenosora
113,___4.mm
114,ssyw10
115,dastinethewind
116,jane.lle36
117,triciateong
118,ms.khairin
119,mimigem.mlms
120,dequackz.crys
121,thedementor
122,ihwtfyta
123,stephietym
124,arsalcrystalsell
125,lmaogiraffe_8
126,c.weiqiannn
127,nontired
128,crystal_wholesale_weiwei
129,pcyee1972
130,ggohfh
131,dalvenicebonifacio
132,ohmnification
133,serene.serene
134,tylong3
135,milko7
136,magpalene
137,iannedee
138,finallytaylor08
139,ledgarcy
140,jean_0368
141,kyrawoo
142,maeltadeo
143,crystal_shop33
144,dennis27widjaja
145,marie_antoinette_syn_ken
146,19seven9eleven
147,msleen10
148,_saku_rai
149,serena_yogalingam_nair
150,sokwahn
151,phobia08
152,mareenc_a.ll.a_y
153,shinievoo
154,_sth_rl_m
155,mystiquesciencebybrinda
156,gneo
157,jenniferkok71
158,tt_mmfoodies
159,nic_jx
160,crystal.and.cats
161,armymomcin
162,jean25sg
163,googleybear
164,johnny_ow_singapore
165,fiorfiorfior
166,cl_pauris
167,stephaneamolina
168,indexlab
169,simplyprincessy
170,_salahadhdeen_
171,sparklaly
172,king.stone25
173,beebee_lim
174,wtloo_erapier_21
175,ryden.03
176,king_agate_
177,kyyringe
178,ellure_yuxian
179,queen_shavoria
180,xinying.ho
181,varuyoga_krish
182,mrsbumbo
183,wan_zh3n
184,mighttmomx3
185,txyc
186,jaclooyb
187,sojuuuong
188,eliciakim0711
189,catherine4918
190,gemstone_business1
191,mariotiagogems
192,crystalwaters2402
193,littleshinybum
194,angelweiling_
195,marisssea_7
196,hannahleoppp
197,gracelim0627
198,jollycooper
199,rustyy_sheyyy
200,serenekoh18
201,tootsiecrystals
202,dalfienest
203,katzchan
204,jiahui11111
205,kellykeroppi
206,sadieaf101
207,jasmine_yap_queen
208,may1310
209,ynyaccessories.sg
210,wholesalecrystal.jasmine
211,grace_shoplineapp
212,swan_crystal_wholesaler
213,littlebrowndots
214,yveqian_j579
215,ghelluh
216,crystals_pocket
217,gracepang
218,jenn_jenn010930
219,flowitheart
220,nn0103nnnn
221,valerie.yan
222,carrieannlee
223,ch4oticcap
224,priscilla.christopher.90
225,crystal_stone_quality
226,sivakami_govind
227,gtwozerotwo
228,lafleurdevanille
229,shree.pillay
230,maiyamuhriz
231,sueyani9
232,_ikanbillis_
233,q_amidala85
234,your.crystals.supplier
235,issa.dalawa.takbo
236,yepochally
237,jimblejanelle
238,aizeldevora
239,lhoekmann
240,hazel_ta
241,chloe_mackie_
242,mddinawazrzaji
243,lilyautumn.k
244,hyggelosaurus
245,claudsintheskye
246,cannablisscrystals
247,orochi_chrs
248,yoojia13
249,fakeyukicwx
250,crystal_throb
251,qadri2886
252,js.ssc
253,niniashalvin
254,alsk72
255,xyl
256,mz.amor10
257,crystal_mlv_quartzo______
258,moonwitch.crystals
259,carlos_aguston_00
260,zengweilin
261,jerlinhuang
262,reany_vai_7872
263,wahzai9
264,gemandberry
265,user896261030
266,pintubhai7033
267,hamzahshop21
268,salondolce
269,chloethesim
270,elxxxe
271,jncl_kpn
272,jared_on.ig
273,meowblings_crystals
274,ktlaw1
275,aileenpvirtucio
276,baconathorr
277,maiapaige1
278,meiyuen.rocks
279,sewfunsewgood
280,siska_26262
281,celia1976pay
282,cherriespumpkin
283,loges_1506
284,jenaeliciouslee
285,xh0td0gx
286,conshryh
287,rockbar.earth
288,crlcheah
289,daynne
290,sofisty74
291,wongmeikuen
292,d.j._aalok
293,il_trono_della_caccia
294,princesslin1480
295,herhuey
296,kiara_jaz_weena
297,oromii
298,zzhuoliinee
299,ohempee
300,leila352351
301,mandalim1211
302,ivyaquarius
303,hoolahco
304,chuvi_15
305,thiago_boamond_
306,chgzynsym
307,toto_mocha
308,apolojane8
309,minzzies
310,huixxuan__
311,zuweeeee
312,oppacjliu
313,dminicouture
314,froggyafro
315,xyelyse
316,crystal_honesty_gems
317,puddingwei
318,cutiejoycee
319,artsyjoycee
320,thivyaaaaa
321,lingqin88
322,average_nerdette
323,kharisgopoems
324,sxfiaxvc
325,cjavier_21
326,linalee01
327,nikki.ko
328,crystal.68
329,supabert
330,mrs_kj_r
331,chrys.talicious
332,premium.bisai
333,lovessummerr
334,purple_amethyssst
335,jacgoh
336,royalqueen
337,dharmendrarathore4275
338,queen_lyngel
339,teukscrystals
340,veryhengheng
341,crystalwholesale_xu
342,crystalline.joyz
343,shairahhhhhhhh
344,iveej_ray
345,ltxcristais
346,energybydesignhealing
347,andri_gamstone
348,sutashinisukumar
349,aashufarooqui28
350,hemnth55
351,shafayat_shadi
352,markyclim
353,highlandminerals
354,ecorocksbrazil
355,gorgeous_jenn_
356,bharat____thakor_____1658____g
357,sherlene90
358,joeng73
359,vincent.chanwingseng
360,fearlessbarb
361,supplier_crystal_healing
362,finegemsminerals
363,kosienne
364,ohtaniyoko
365,denise.jhy
366,zelana2018
367,azbabshiekh
368,carlettotee
369,bibi.kaku.3
370,nesstan04
371,thruglam
372,okrawingfrey
373,vanillaluxury
374,vodoun23
375,lourdesvictoria68
376,pak_minerals_collection
377,jms_stone_stall
378,alfeaz2021
379,saycheeseteriz
380,casey_kiasi
381,sayeed_chy1
382,chow_chowsss
383,nihoqe
384,_zcrystals
385,soekhoon
386,gejoan1980
387,rich_a
388,mei.sparkle
389,starsnowflake
390,pard.eepkumar3370
391,thedailybloomssg
392,ginachsm
393,great.bende
394,annwan315
395,haikyuuuxlibero
396,sarah.crystalwholesaler
397,ajazkhan9726
398,lionelpawz22
399,thewitchbitxh
400,missjollyluvart
401,gujjararjnu
402,joycee.cee
403,na.zmul8918
404,annarior
405,catalize.d_crystals
406,athinainasia
407,marukovivian
408,lin_travel_addict
409,indonesiacrystalstone
410,glowandflick
411,winnertyana
412,_juleswei
413,maemaemaemae
414,whatswongbb
415,hannmadethis
416,maricz01
417,onlinemarketingphbychai
418,herm.awan748
419,twoqueensinakingsizedbed
420,nuragate
421,_min.t_
422,foodialexchia
423,jennyjenjenevo
424,king_of_phoolsingh_770187
425,tslclement
426,_ello.o
427,yong_gaeun
428,hilyagemstone
429,_mylifeatlive_
430,powerpuffgem
431,dyuhliebee
432,gractercrystal
433,prime.sarmiento
434,abgemsshop
435,cacau.parrot.amazonaaestiva
436,chyehho
437,mariironnalynarciaga
438,gennakbye
439,ehreeana
440,powermove_films
441,lobkemeekess
442,priscillastephan
443,lebonrach
444,magmagyun
445,amfickleminded
446,jonhymxa
447,exclusivegemsfrombrazil
448,beautiful_in_death
449,fahad_ted
450,mlk110988
451,kimbilie
452,manchingjtabalba
453,abbey.gavel
454,msmustard_yoga
455,ktpw_
456,joanngimei
457,missd_cosalon
458,iampeanutttt
459,wahzaw
460,nagazure
461,lollipopz.candy
462,d0d0mee
463,crystalquartzwholesales
464,angiehermann
465,aaronyxy
466,natural.energy.vn
467,aftabchauhan5
468,doulalorraine
469,xinxinxinasong
470,creatingfrequencies
471,cheirei_the_wanderer
472,stone_natural_indonesia
473,tini_win
474,i.josnah
475,germzyg
476,legendefaridla
477,franciskoh
478,ivyleech
479,jamie___gx
480,klszxc
481,i_abracadabras
482,carlossantosramirezz
483,artofbetterliving
484,me.aghan8110
485,surrendertothepath
486,heyjadey
487,crystal_zh_wholesaler
488,whachadoreen
489,confident_trust_
490,la.cey9706
491,bello_zeinab
492,topgun7333
493,the_hanburger
494,lainaraine
495,florenceooi
496,flo_ng
497,shawntristan
498,cv.crystal_family
499,rblavibes
500,jouqueen
501,indonesiastone_seler
502,agatesundastonecrystal
503,liliaaaannnn
504,iamjovey_t
505,kennes11
506,jeanlim07
507,joanneangwk
508,cryst_luna
509,piggyham
510,amy_bunny
511,gohjass
512,leefer123456789
513,rainbowrocksugar
514,jocll2607
515,momo_in_singapore
516,sasha.rue.castellano
517,meghantalarico
518,limse70
519,gollygoblin
520,yayyyy1210
521,astraeacrystals
522,energycrystals2030
523,justjanuine
524,jinkee_bs
525,cristal_putra_permata
526,20etagram
527,bearrykat
528,mrigaasethi
529,janally88
530,itseringraym
531,joross69
532,alan.crystals
533,nikkeeerl
534,che_llave
535,darkestwarmth
536,ggenieration
537,mega_sharon
538,alignment99
539,beekim_toh
540,mandelow
541,clarluvvv
542,jinnchaiz
543,tinkerbread
544,angrybird57
545,gohcynthia
546,squishiesluvver_studio
547,eleanor_neo
548,zuri_ismail
549,gracelim358
550,icebleahz
551,rudysyaputra44
552,bareezah
553,suzuecollections
554,cleiton___22
555,nanapripri
556,iamchcolate
557,leeleenugs
558,stephanie_lim03
559,ms_m_mummy
560,sun_3048
561,sweet_shutters
562,angelite.moon
563,queenperditaonyx
564,annefrank1509
565,loiseckley9109
566,fashion_essentials_sg
567,wendy_official215
568,romel_yancha
569,rebeccalinqy_
570,leezahazodnem
571,tylaofmagick
572,aromacjc
573,luanna042020
574,jafarkhan3596
575,puvana_arul
576,white.fangg
577,nelvzlariza
578,staceyphon
579,rebekah_uy
580,kyle_sabidalas
581,joannebungem
582,minyasmin603
583,sillyteelypixie
584,her.thought.catalog
585,messyiscassie
586,gerrychen09
587,moonchild.moldavites
588,naomzgoh
589,czech_4_1
590,debs_lai
591,solelyrachel
592,clara.bloomz
593,too.crystals
594,hoongchoi
595,kimberlycrow.king
596,loopyloopylove
597,shamani_06
598,lainetyl
599,eliseww
600,annwhyannwhy
601,juneee88
602,sentimentcrystal
603,albyina
604,carolineolley
605,mabe088
606,mizushopsg
607,jessibompipi
608,valerie_xia14
609,jamadz_martinez
610,michkraftx
611,stefunyas.stones
612,sherlinchuasl
613,zoepanda1210
614,actu15
615,mistyred0909
616,anythingpink
617,aileenpinky08
618,peekaboorai
619,crystal_star_portal
620,angiegold1970
621,coen916
622,coucoumee
623,catherine_tan_hwei_ling
624,cambay_art
625,edwinalowgk
626,idgaday
627,bahamus78
628,mzqingggg
629,wine999me
630,jean_sheehan
631,ayipyl
632,nicoletinne
633,pawsandcrystals
634,bernadettepongos
635,meghaaromatics
636,marianne_g_mojares
637,heyccarissa
638,annalilie_ledesma
639,guilianie315
640,emilylml30
641,akashiclightcrystalz
642,theebakumaran
643,sbrsayson
644,lujai1701
645,okiemagnetic11
646,iamdarlynlucero
647,thebochapnyonya
648,_nikki_qd
649,project_lance
650,5erendipity19
651,pamerinllw_
652,celiachansm
653,fire_and_moon
654,aliciaparkloha
655,crystal_hut.withlove
656,myheartbeats4cats
657,ly.nda3569
658,ellicenps
659,illumonstrology
660,miss_eila_rose
661,richanna55
662,thalynhisqueen
663,tinahutchinson
664,tta_melenial
665,btan_1
666,justin.crystal_sale
667,gem_sage
668,goldhoarder
669,shitsummxrvibxs
670,monnadinered
671,elnemo22
672,lethrosalejos
673,oh_gem2020
674,alan_crystal.wholesale
675,kim_0412
676,_tazen
677,patch_n_grey
678,lathikalvanilla
679,cynorita
680,pinkskyaf
681,thbellevue
682,celezlim
683,cynhanqm
684,sparkle_leeny
685,geraldgochan
686,thevfurnituresg
687,christine_goh79
688,rafidah_queen_stones
689,aphr0leelua
690,maanvuur
691,scopion.king.12
692,bernicemeizhu
693,bruce.and.harley
694,crystalsbabies
695,ginov23
696,aprilynk_1520
697,jenmoraitis
698,mona_dixit888
699,lameliorer
700,jessielin82
701,puteri_sheila
702,__lovingyoualways
703,mspunkie
704,ab_by3184
705,uvarani_17
706,apetalkstrash
707,chx._rix_
708,meimei_is_the_cutest
709,laytchng
710,iammaribelzunce
711,cjw_starship
712,bake_it_sweet
713,siqiii_lee
714,shengjm18
715,yunokinoreo
716,brucechuasg
717,emilyne_sam
718,eye4u
719,teharadreamsg
720,lanangopal
721,missysha
722,milkwaynstars
723,alona_brer12
724,black.old.sun
725,iammiasumiati
726,kantahd1962
727,libbypeh
728,lj.crystals
729,bahbahhh
730,midtown.psychic25
731,deng8938
732,a.lex.roro
733,agatecorporation
734,rebecca_guile
735,healing_crystal_wholesale
736,sueewong
737,nicholinee
738,mentaikogirl
739,joodywang
740,rierie.sherrie
741,ha1717y_j1_1lia
742,kccartel
743,gingytan
744,immnzy
745,cellurs
746,debbykim
747,the.elephant.moon
748,kissesfromjo
749,icequeenmermaid
750,cheriechl
751,sher12tan
752,evredaa
753,purpleamethystgrapes
754,askmeaboutbubbletea
755,suki_fen
756,galorecrystalsg
757,jessieannmarie
758,theathenarising
759,suriya_sanjeevan_ji
760,camilleiora
761,chezlisebeauty
762,seahche2306
763,purpleunicorn1973
764,amooonchild1021
765,enkx.s
766,151092_
767,st3phany_t
768,atechechebells
769,donaldart
770,sherlynll1
771,closetletterer
772,agarwal.tarun91
773,diva_shines
774,sagefolks
775,ella_umber_ella
776,ajanta_rocks_and_minerals
777,quintessentiallyqzzy
778,janice.chen.906
779,annchichi
780,weeyney
781,irislemel
782,panganiban.mara
783,xxthesecretdoorxx
784,oddeyetarot
785,sconestack
786,sarahannlsy
787,kittyeveee
788,elli.nia
789,elle.aaron
790,wongsiak
791,lajollacrystals
792,veenabanana
793,patriciatannorgaard
794,iris.nic
795,teo3860
796,fancy_agate_exports
797,min.wholesale
798,skylite21
799,pei_chee_lim
800,clasyho
801,yui.readings
802,mistynickylicky
803,katew198
804,thebluearc
