,followers
0,jclyuannn
1,zeemohd68
2,jimmy.chen.7509
3,tzekym
4,gohshelly
5,alexascrystalss
6,gmineralinterprise
7,michicrystals
8,carrieyp_moon
9,tinggwenn
10,thecrystalshps
11,devilish_bash
12,platinum_flux
13,ycym76
14,themichelletang
15,property_of_crystalgems
16,subtlewows
17,charlotteyqh
18,charlenetanpua
19,jaynnice_thh
20,janielletyx
21,jynnjer
22,txmble_land
23,littlebeadoz.co
24,chochomunch
25,ofstarsandtears
26,adaywithtitania
27,kambababa
28,dilysious
29,rainbowtigerbb
30,clarice_kaylie_4ever
31,wickaids
32,cassiesgemmies
33,feitan0104
34,magickalhues
35,scrollingigforhours
36,jlenngx
37,clouds_of_crystal
38,_jingting
39,shln3yxh
40,antibacterial_febris
41,bekoljhonkok
42,stinaloveeee
43,missing_shell
44,dannnsation_
45,qlyy.szd
46,kimz_buyz
47,dingkuey
48,kerrinesee
49,karima_manja
50,dimplemomo
51,alyse.go.wonderland
52,the_zen_of_pisces
53,vivacrystals
54,sallytheduck_
55,c.heeeryl
56,wnd.123
57,foong7171
58,seah_si_hao
59,kissmefunnybunny
60,lynnserina
61,z.jbi
62,bewwypuddles
63,shutupdino
64,csceleshellc
65,tingzachmikaybert
66,pearllfy
67,_.c_chloe
68,rene_debeaute
69,natxzil
70,hiroyuki17
71,__crystal_shop2022
72,meraki.krystal
73,shihui07
74,istrishii
75,veronicaharianto23
76,roxyroz14
77,eudodo._
78,vicksontoh
79,zelle.wanderess
80,liminnnn
81,crystalcrowholesales
82,jenniferrose.crystalcollection
83,dtan724
84,iamchoccopie
85,finiccool
86,4ten3
87,projectslaw
88,_lindabel_x
89,honeystals
90,ivanvanmand
91,urlovingsecretsanta
92,ashleylynnwill88
93,battlow
94,mii__doreen__reen
95,jason_soulz
96,khairulamri19
97,durarud
98,naqheyahihik
99,williechan86
100,hewokkitty
101,luna_asrai
102,animaladf
103,elicester
104,sze.kaiwen
105,wohenpangg
106,acnh.meow
107,singaporesling14
108,jl_serendipity
109,tan_jojo
110,me1.5382
111,annatyy
112,kennethleeeeeeeee
113,zhuzhuoinkk
114,mellymeowz
115,nataheng
116,debbiengoxzc
117,joannetmy
118,hantucheena
119,makkachinsquish
120,vvvalerietan
121,whoresinthishaus
122,deblxy
123,jencrysty
124,vel_mood
125,selina.toh
126,lor_dstone
127,kel.wee2011
128,sp1cyer
129,zoestupididiot
130,13ponies
131,cshan21130
132,tinycrystals.sg
