,followers
0,lagi.best
1,nestdarmawan
2,divafergy
3,heartconsciousness_sg
4,kas2ri_raju
5,ms.hap.py
6,jannavenir
7,ws_chang15
8,covetlizzie
9,xin_
10,juvinaratnam
11,crystals_christalized
12,wanjunt
13,flowflutterfly
14,darloveslife
15,stanho
16,mjolnir94
17,rephaell
18,raul.vlajic
19,koustaviliciou
20,devoniensis
21,mr_jumz
22,russell_mok
23,sillyfluffymuffin
24,shiftwithshubhra
25,lucas_cdx
26,heng7874
27,mamma_pasta15
28,_____kenny________
29,cola_tin
30,aharw
31,orochi_chrs
32,stonestory101
33,shaidurullahkairi
34,chic__al
35,yolo.nothsa
36,j_.v_.n
37,larence.chee
38,enryuugeki
39,leopold_sg
40,yuehchyau
41,c_blankspace_l
42,michel_lin
43,ruleyparuley
44,gabbyteng
45,milko7
46,issa.dalawa.takbo
47,winston_lee123
48,na_na_land
49,janet.chui.art
50,lejardin.sg
51,xinhui_queenie
52,sharonsiu.is.me
53,justintlm
54,unicornz09
55,hammbao
56,zheng__lyd
57,n___neuynom
58,huiyu_111
59,jasminrella
60,sha.heengems
61,ivy.xa
62,joniwong
63,yuviee_hyc
64,jackkool77
65,crystalsbyevolve
66,baconathorr
67,wander_ing_soles
68,oishi_the_retriever
69,iamqsl
70,xueying094
71,peamamaaa
72,buaytahansia
73,theetherealmystic
74,anomitab
75,sparkles.love.hearts.magic
76,therapybysharon
77,living.thesoul
78,trinitytrinitas
79,plannerxiao
80,simonelieschke
81,gemsandcrystal
82,issaaaaaaabell
83,infinitesweetlife
84,sodapop.ppp
85,summertimebean
86,unblock_claim
87,chiew_hl
88,ceriseli
89,evolvephysiotherapysg
90,faric16
91,kanra.rar
92,azurestonesceylon
93,is.wang33
94,maurinusprime
95,vincetylee
96,chennnnn06
97,evasxy
98,peilingmrs
99,shirley0502
100,shaohao.ig
101,imyafangg
102,jewellery_haven
103,laurenloretta3
104,beccacallander
105,rinarosli
106,annabellechuapl
107,euna_sage_
108,kikirmf
109,thyerika
110,jeff.zam
111,nancyiro
112,neilchua810
113,pennyandhercuppatea
114,zestfulzea
115,benbang
116,plvsmv
117,scotcheggsundwhiskey
118,noshittarot
119,aerialelyse
120,orangechocolatemuffin
121,ohxnora
122,tangewow
123,lollagsg
124,jfoo74
125,zecrystbunz
126,matterinc
127,olafyolaf
128,faithdababie
129,oranje.movers
130,shot.by.the.gram
131,c.eu.gene
132,the.no.recipes.chef
133,belc
134,zanevangeline
135,liushanbao
136,chloe.jx96
137,hhanah97
138,huimin_koh
139,jocelynlsj
140,sparkcrystalsrocks
141,shinobuslefttoenail
142,mengchuan
143,melho_ly
144,ellure_eileen.t
145,veronica_tay_sg
146,schingggg
147,nicokelas
148,ginakoh_
149,shihancole
150,ohmyjessieee
151,xxjanelauxx
152,wasabi_shan
153,aaliya.teo
154,_yoraine_
155,shinecrazybebe
156,elvinac
157,afishinariver
158,twcheng__
159,carinez1
160,pinkksmurf
161,cherrtan
162,jiexin
163,huiizi_c
164,rnlsa
165,jocelynn_lzh
166,salsayaya
167,abdefgrace
168,instabeautysg
169,christinateooo
170,missprettyugly
171,gladlovesyou
172,chongyuting
173,_.xueeee
174,pingguoismyname
175,vernice_tan
176,s.bao02
177,linettelim
178,mich_e11ee
179,joanne.loh.54
180,prbhammy
181,aysha.rita
182,crystal_khoo
183,xxroserlingeous
184,michelle_tsp
185,shirleyw.sl
186,claudmerx
187,jascleoaris
188,dorcasyhj
189,cynfullcrystals
190,manboyangel
191,sammieburger
192,twentyoneroses
193,xiixxi
194,jpl_lam
195,puaycher
196,astrbblyy
197,dennismacho9
198,crystalkopitiam
199,marie_antoinette_syn_ken
200,yuinying
201,stephysim
202,changbinsun
203,ngc808
204,jaycetan1979
205,saralee772021
206,cookingmissus
207,lynda.nursah
208,crystalwaters2402
209,blue.sky.great
210,mikaaanee
211,crystal.68
212,janellemintt
213,5ky68
214,chloe_mackie_
215,imlackofsleep
216,jenny_kellistin
217,pebbbless
218,brooklyyn22
219,n_q_d
220,carolinalim
221,pammi_grace
222,leahlihuililstar
223,jessyiting
224,crystalixie_
225,vivianahw
226,fakeyukicwx
227,shopgimmeco
228,xxginsodaxx
229,jingningg
230,cy.xrxstals
231,ohmyna
232,xjiahuix
233,jasmine_jmb
234,alan_crystal.wholesale
235,jessiahjay_
236,eunicechuaa
237,cziting
238,hmin.y
239,bitter_pink_lemon
240,charlene_13_32
241,zlxvire
242,chelsyyz
243,genie.gaewalin
244,imarielsx
245,limingg
246,vonnll
247,serenelingg
248,allytsx
249,carolflheng
250,crystalsadmiration
251,luxe.studiosg
252,fashionupsg
253,charmainexytt
254,graciesepet
255,sangeetamadhav
256,edward_tay_
257,jillianzhen
258,pinkoxide
259,xxzpolarbearzxx
260,deonlucifer
261,zhenfengobjectworkshop
262,houjicha.aisu
263,i.v.y.0.7
264,carelynw
265,b.htacxw
266,lorenciaaaa
267,bubblyting
268,n_srh15
269,mochachilled
270,beatrixdreamzz
271,mspoh.j
272,fabrainc
273,marxshexl
274,tofuisblack
275,chl0egg
276,ameliawooqianying
277,xpurplelovez
278,mittymao
279,msytwong
280,christinegohh
281,nov.jsh
282,tmlsharon
283,branvv
284,kristellechow
285,redroseswiththorns
286,rhealeckie
287,meng.juice
288,janice_beau
289,jinlpll
290,shanism
291,dequackz.crys
292,angelyn_llee
293,dorothycpy
294,tiffanylxl
295,joyceesee
296,lyds.sketch
297,not_so_sol
298,onlycrystalssg
299,hengcyong
300,pikgah
301,dionnananana
