,username,followers,followees,is_private,is_business_account
0,sixnine1990,11797,861,False,True
1,n_a_m_a_lek,945,1217,True,False
2,umi_2101966,35,32,False,False
3,crystal_wholesale__amelie,75,247,False,False
4,crystals_cornerwholesale,5,37,False,True
5,sexystarseed,976,3833,True,False
6,samsulbahri2416,52,496,False,True
7,hamidmineral,813,2350,False,True
8,vibras_azules_pr,20,58,False,False
9,phoesible,1722,3116,True,False
10,m.chellelsy,531,1694,True,False
11,permadihikmat,99,402,False,True
12,crystals_wholesale_shop,999,2476,False,True
13,bitchpyre,1469,1274,False,False
14,gems.tone2022,1,105,False,False
15,stonedbynaturecrystals_,6,78,False,False
16,finnsullyrose,388,4303,False,False
17,michellescrystalsandlight,1207,361,False,True
18,bullterrier444,7,20,True,False
19,lilijj,394,3027,True,False
20,mi_chelle1310,511,5473,False,False
21,krispykremmeeee,987,1742,False,False
22,devinegems2015,1165,1268,False,True
23,sy.instame,167,1079,True,False
24,bloomingaromas,477,3406,True,False
25,gladysstories,23244,1951,False,False
26,bebe_ducks,185,1425,False,False
27,greyschua,592,632,False,False
28,r_xdical,1,24,True,False
29,pais.alakmal,818,6833,False,True
30,crystal_minerals12,8,85,False,False
31,czisheng,304,287,False,False
32,crystalkamran,5821,3725,False,True
33,shawna.boger.9,338,1438,False,False
34,anabelenbadilloroque,226,1273,True,False
35,starlitcanopy,341,1102,True,False
36,crystal_agate.shop,1715,6706,False,True
37,narecdiamond,205,1852,False,False
38,cemal_calskan,153,1719,False,False
39,zannwanxin,1062,436,True,False
40,xxjayleyxx,43,4166,True,False
41,saad_khan_durrani,440,1435,False,True
42,courtneyleefunk,189,1443,True,False
43,makkachinsquish,638,995,False,False
44,choopheng,58,469,True,False
45,sheisxuan,1,3,True,False
46,popo.wong.754365,365,2287,True,False
47,aman_crystals,70,191,True,False
48,premiumcrystalshub,4282,7466,False,True
49,st.one4116,12,251,True,False
50,bernard_birt,18,164,False,True
51,azl7242,31,445,False,False
52,joellendillow,3,94,False,False
53,jenaripie,339,1065,True,False
54,liyeeeeeeeeee,97,232,True,False
55,ags4658,13,47,False,False
56,itz.mons,107,54,False,False
57,bhe_irannnn,34,259,True,False
58,felicianicole_xii,445,1943,True,False
59,mezelf_11,70,499,False,False
60,sookyliu,30,89,True,False
61,the_dragons_hoard_llc,4,11,False,False
62,ailinhuang98,94,190,False,False
63,verniktruf14,748,6590,False,False
64,kagemstone,105,715,False,True
65,crystal_seller_fiona,1161,4648,False,True
66,shazoo_666,17,942,True,False
67,lupus_nix_crystals,98,167,False,True
68,cadescrystals,171,1214,False,True
69,artgrethazombie_,2854,3536,False,False
70,billiggustavo,137,313,False,False
71,sherwali.gems_collection,2003,6591,False,True
72,azlan_rockstore,2093,6851,False,True
73,darmagalihromi,1723,6921,False,False
74,nadjakribbeler,120,360,True,False
75,nataliemarie338,151,420,True,False
76,geethaeddie,508,1393,True,False
77,vishnutanwar1992,69,318,False,True
78,property_of_crystalgems,1013,2179,False,True
79,lovingtherocks,2561,951,False,True
80,lemonandgingerwellbeing,1427,910,False,True
81,sopaa_mrw1221,158,695,False,False
82,diana.fungki.90281,1351,7467,False,True
83,bijoux.joya,89,155,False,False
84,jasmineoyc,120,74,True,False
85,swirlsofshereen,226,304,True,False
86,katchifuzo,236,61,False,True
87,blackdevil_boy_,268,175,False,False
88,joanne.oyl,15,35,True,False
89,seli_na1903,487,3060,False,False
90,picnicbythegreens,1,3,False,False
91,chabochone_for.sale,410,1621,False,True
92,thequeen_princesses,72,89,False,True
93,urielminerale,689,546,False,False
94,bforburrrito,372,711,True,False
95,davitcrystals,606,2361,False,True
96,unknownpetson140508,30,299,False,False
97,intuitive_crystal,2162,7499,False,False
98,crystals_world_shop,2125,5499,False,True
99,javacrystals93,1421,6039,False,True
100,crystal_stone_wholesale,4300,2903,False,True
101,zqlau,144,462,False,False
102,gloomy.daze,3,261,True,False
103,vanitha77,46,195,True,False
104,md10876,0,69,True,False
105,ma.gdalena4597,153,3197,True,False
106,skylers_spells_charms,19,42,False,True
107,cocobabycake,3605,1794,True,False
108,quality_minerals33,507,4078,False,True
109,semegou,35,491,False,False
110,loud.n.shine_precious,81,187,False,False
111,relmore1626,292,2314,False,False
112,krystallized.lynx,199,154,False,False
113,du3548,197,375,False,False
114,heyclwx_,898,1915,True,False
115,daffyduck0213,100,215,False,False
116,fusaodosagrado,1006,397,False,True
117,by_janelu,591,1909,False,True
118,sunflowerapothecary,187,254,False,True
119,hantres.sofia,1332,3391,False,True
120,shaaaniceee_,642,521,True,False
121,christalizedd,21,53,False,False
122,marlie__draws,4,4,False,False
123,valhobbies,66,187,False,False
124,sakilovelydancer,454,6146,False,False
125,ferlynz,250,161,True,False
126,thegemlady888,93,289,False,True
127,conscioustrading,341,28,False,False
128,wbpauline,431,432,True,False
129,barnaclebarnabas,0,428,True,False
130,tiastreasuresxo,8354,5600,False,True
131,_minerals_gems_crystals_house,1455,5537,False,True
132,lovelycrystals888,276,1265,False,True
133,heyellz,753,257,True,False
134,mysticeyeartisans,1910,1143,False,True
135,brichalfsss,76,91,True,False
136,etui.trove,1962,333,False,True
137,druzylite,635,1267,False,False
138,all.crystalstone,159,2211,False,True
139,virtanen_annika,927,3743,True,False
140,holy.macaroni_o.o,38,329,True,False
141,degan_gems_minerals,1097,4342,False,True
142,pearllfy,297,452,True,False
143,anythingkk,342,1890,True,False
144,ichacrystalwholesale,290,2374,False,True
145,mijangemstone,188,1435,False,False
146,umiscrystals,1262,522,False,False
147,bharati33.33,272,728,False,True
148,ruijialovesfries,512,708,True,False
149,vany.duran.9,536,7232,True,False
150,inselunity,1,939,True,False
151,licybanks,1681,701,True,False
152,nadia.mutha.four,1619,5915,True,False
153,liannnnnnnn,648,1408,True,False
154,henrykandc,25,56,False,False
155,kinda_lov3ly,32,4899,True,False
156,scar_the_baby__witch,22,47,True,False
157,osva_23_08,281,1935,True,False
158,hbsh.shr,38,1444,True,False
159,tryptamine24,785,781,False,False
160,luxerecoveryrx,1420,5525,False,True
161,mleapalermo,341,545,True,False
162,__this.little.light,39,398,True,False
163,_melindaamarquezzzz,370,1905,False,False
164,samanthawho1988,547,1424,False,True
165,sarina.sloths,5,219,True,False
166,figueroacinti,115,485,True,False
167,valenfiora,1479,2150,False,False
168,aysha.rita,0,827,True,False
169,lislane0010,25,86,False,False
170,samiranideva,130,1951,True,False
171,synniahshanice,1019,3000,True,False
172,crystal.live.store,290,2069,False,True
173,getyourrocksoff22,474,1593,False,False
174,zer3ndipity,200,725,False,False
175,ninja_abhaya,5507,999,False,False
176,perfectly_imperfect_o7o,503,3127,True,False
177,mckenzie.leaha,617,1606,True,False
178,shadsgems,289,888,False,True
179,eliahc_2004,454,1429,False,False
180,lacrymoxa,878,833,True,False
181,shahzadgems1,27,96,False,False
182,c4uinvitaciones,30,258,False,False
183,sonya_quartz6,75,68,True,False
184,john_d33,584,2320,True,False
185,alshafa51,237,1125,False,True
186,hss_gems,160,2077,False,False
187,ll_ml1s,36,2274,True,False
188,wulfric_destash,52,29,False,True
189,natalie.oshaana,150,1264,True,False
190,meooowtastic,1743,5153,False,False
191,pendant_polished,67,183,False,False
192,angieford2021,400,3046,False,False
193,kuxtal.joyeria.artesanal,966,831,False,False
194,derpywolfboi_yt,375,7056,True,False
195,ma.rissa10,720,1070,False,True
196,summervictoriaartistry,117,772,False,False
197,jefersonsilvacamargo,66,199,False,False
198,courtneyscrystalcastle,181,782,False,True
199,crystalsspage,0,36,True,False
200,westhewool,210,641,True,False
201,malfatihstone07,559,2665,False,True
202,lucas_sizney,549,4307,False,True
203,vcd.jah,2109,1126,False,True
204,kiera777,373,590,False,False
205,karem_quintana,267,796,True,False
206,cheer_vici,286,241,False,False
207,male_jwj,500,370,False,False
208,marimer.83,169,567,False,False
209,paulenaboudreau,289,2219,False,False
210,shannonrushton28,164,837,False,False
211,lovelovelaugh369,21,85,False,False
212,mandamanning74,68,227,False,False
213,melissaakjy,345,892,True,False
214,zofteye11,1884,2578,False,False
215,klarree,1009,1165,True,False
216,soulfulabundance,357,1114,False,True
217,mozza_art_crystal,367,2866,True,False
218,nana_crystals_,121,242,False,False
219,sara_jgryss,170,1892,False,False
220,itsmeabbbbyyyy,97,47,False,False
221,mistyghileman,169,675,False,False
222,yudelkacristaluna_,534,4906,True,False
223,stones.oflight,124,344,False,True
224,aura_leopoldina,272,3118,False,False
225,yolks_of_evil,320,55,False,True
226,taylorrae54,714,2852,True,False
227,nisahsboutique,313,136,False,True
228,acildesway059,1035,3999,False,False
229,crystalstons,804,2614,False,True
230,wickedbloom_oc,156,165,True,False
231,agusmira876,381,2532,False,False
232,paola_gto_,1104,3524,True,False
233,nurraysapgkulim,267,667,False,False
234,chloebradleyx_,802,1575,True,False
235,rah.crystals,16,60,False,False
236,locogang_44,408,2230,False,True
237,agategue,553,1390,False,True
238,cemorr32,672,2671,True,False
239,tajwa_le,1233,4262,False,False
240,dp_website,19,139,False,True
241,fifi_bt95,26,1523,True,False
242,cassondra.ann.zizzo,180,1241,False,False
243,nickyavila1906,561,7134,False,False
244,ziptol_,9801,812,False,True
245,lumi.crystals,32,120,False,False
246,e_c_agate_1,349,1539,False,True
247,klawrah,168,3006,True,False
248,calcite.crystal,302,1135,False,True
249,dolphingirl5211971,222,1347,False,False
250,4ten3,16,425,False,False
251,blondee327texas,582,669,False,False
252,winterfei12,346,1657,False,False
253,carm_alexi_ur_intuitive_bestie,85,67,False,False
254,wagne325,130,2282,True,False
255,nicooletan,401,851,True,False
256,honeystals,136,172,False,False
257,yunxiao350,29,150,False,True
258,kohsashimi,333,1237,True,False
259,eileenho19,432,534,True,False
260,acuamirine_pearl,173,985,False,False
261,midnight_takeflight,649,6087,False,False
262,k.vohs970,94,260,True,False
263,paula.dlops,191,1309,False,False
264,gerardo_1717,482,436,True,False
265,scorpioartss,1358,5659,False,True
266,ivettej27,169,6801,True,False
267,killjoy898,550,5329,False,False
268,adautokeler10,246,852,False,False
269,seller_druzy_white,864,3397,False,False
270,javacrystalstone333,28,237,False,False
271,k.glowasky,926,792,False,False
272,odd__mermaid,1181,1569,False,False
273,mariadorosarioloss,429,6503,False,False
274,luana_m94,387,1357,True,False
275,wicked_magnolias,31,30,False,False
276,lovesncurves,1411,2621,False,True
277,cyacreates,1251,1155,False,False
278,aac82,75,677,True,False
279,acnh.meow,71,649,False,False
280,flautachica20,1185,3342,False,False
281,jennyeo20,148,641,True,False
282,ahay_stone29,3169,7501,False,False
283,334shelby,114,623,False,False
284,akmineralstone,147,944,False,True
285,dogaltasenerjii,2754,1132,False,True
286,veryhuathuat,23,25,False,False
287,setiadistacy,516,650,True,False
288,tmlxol_22,29,58,False,False
289,onbanehowg,793,996,False,False
290,thekoalatree,587,2254,True,False
291,d9m6ts3l,333,5800,True,False
292,wfcristais,606,2318,False,True
293,gabytoro3008,1687,2658,True,False
294,sadwhales,76,1203,True,False
295,kikiurbaniuk,265,536,False,False
296,cedarbells,3,33,True,False
297,mai_j48,94,410,False,False
298,roman.on.mars,621,3133,False,False
299,ienvysophia,64,126,False,False
300,rockz_art,1051,5196,False,True
301,shopgirl420,1552,2971,False,False
302,twostonedsisters,367,923,False,True
303,quality_mineral_specimens,3640,7350,False,False
304,izul222,335,356,False,False
305,floofycrystals,74,301,False,True
306,ahmaddana.ahmaddana.52,20,91,False,False
307,zhuzhuoinkk,10,324,True,False
308,semiramsii,817,4947,True,False
309,lapis_lazuli_wholesales,497,2645,False,True
310,fungusnoodles,93,1672,False,False
311,rocks_minerals_and_.gems,947,2031,False,True
312,purple.star.lojadecristais,3051,1505,False,True
313,laradjjrbebd,4,426,True,False
314,gmarr_20,587,462,False,False
315,alisson8_silva,221,765,True,False
316,nanilemons,0,203,True,False
317,crystalhq123456,76,338,False,False
318,mysticalneptune,741,2147,False,True
319,lunarmagickwirecrafts,94,161,False,True
320,amabelhahas,84,877,True,False
321,crystais_sh,434,2283,False,True
322,meowwshanwang,34,442,True,False
323,chrissyg8301,485,1484,True,False
324,crystal_lunar_moon,74,34,False,False
325,msleggydance,265,558,True,False
326,elnegro316,984,4975,True,False
327,priestesscrystals,688,260,False,False
328,adria_aurora1111,234,1396,True,False
329,panda.1253,0,116,True,False
330,bennybeep,464,1147,False,False
331,kelsey_stacher,782,2104,False,False
332,murron203,568,1038,True,False
333,gemstreet_01,192,1052,False,False
334,crescent_fox_crystals,55,61,False,True
335,crystals_for_your_soul_,182,318,False,False
336,secretmoon2022,997,5855,False,False
337,marcosmit7,514,2965,False,False
338,ebolcrystals,1022,6511,False,True
339,niracrystal_wholesale,212,3721,False,False
340,crystalrock81,194,1900,False,True
341,cr33pytim,6,336,True,False
342,lydi_glitteryhaven,68,95,True,False
343,thriftandcrystals,11,203,True,False
344,cabochonwhole_saler,185,2108,False,True
345,huseyinkoc897,318,3560,False,False
346,crystals_rockquality,175,424,False,True
347,crystal_gemstone01,492,2051,False,True
348,memet_stone_city,3046,7197,False,True
349,lotus_flower629,258,529,False,False
350,jeweledpassion,1649,2955,False,True
351,gratefulheartscrystals,262,1018,False,False
352,jenniferrose.crystalcollection,26,3206,True,False
353,rogue_stormshadow,821,2096,False,False
354,mr_gem_stone,49,111,False,False
355,intuition.crystal.co,22,148,False,False
356,leyla_z_c,6401,7499,False,False
357,gems_expert.co,319,3347,False,True
358,jrmints87,644,978,False,False
359,rizqproject_id,1091,5185,False,True
360,im_pokywoky,111,450,True,False
361,riettol,11,21,False,False
362,naenaern777,1130,4497,True,False
363,christina.dixon.148,98,170,False,False
364,evangelinesoh96,393,147,True,False
365,gab1237663,11,182,False,False
366,halloqueenwitchbitch,5441,2806,False,False
367,leeniek_,297,818,True,False
368,sabwee,256,2076,True,False
369,g0uopy,112,855,False,False
370,thearttwit,297,1944,False,False
371,aura_haven,620,107,False,True
372,malene_ratajczak,613,156,False,True
373,mmelody13,2,1065,True,False
374,elin.agate,138,1406,False,True
375,peltercrystal_rock,279,2449,False,True
376,crystals_joe_wholesale,17547,1556,False,True
377,dear.keizel,1012,561,False,False
378,chuddycrystals,174,39,False,False
379,honeygemsstone,649,2089,False,True
380,christinemjhda,116,363,False,False
381,mellowmuggle,139,187,False,False
382,jwm_stones,3030,7496,False,True
383,ncxx00s,630,1484,False,False
384,fingerfleet,252,555,False,False
385,blovespeeps,11,227,True,False
386,beeee_crystal08,240,1299,False,True
387,emily.grace.94,592,964,False,False
388,rockketmail,24,140,True,False
389,urlovingsecretsanta,34,128,True,False
390,jac_chan4376,46,418,True,False
391,crystal_treasure_wholesale,368,1302,False,False
392,originalfeistyfairy,283,469,True,False
393,myha_bradshaw,154,1894,True,False
394,joan.ll_,711,2076,True,False
395,street_of_gems,2719,841,False,False
396,thecrystalnooky,592,441,False,False
397,aziz_gems_and_minerals44,26,128,False,True
398,infinitesweetlife,44,172,False,False
399,cashmerestarslou,156,210,False,False
400,backcountry.made,1112,679,False,True
401,meirelou,932,1872,False,False
402,wholesaler_crystal_gems_skulls,2391,4549,False,True
403,moon_goddess9,783,432,False,False
404,angel_lovee19,183,760,False,False
405,choice_minimalist,19,454,True,False
406,liyahsbeautyvault,2153,987,False,True
407,therockysoul,1434,886,False,True
408,ritu279,1824,7501,True,False
409,cahayastone2,1547,5338,False,True
410,blissbybling,129,740,True,False
411,mochamochi,134,272,True,False
412,shuettie,157,701,True,False
413,fi_n_fiz,99,530,True,False
414,__natasha__a__,439,1183,True,False
