,username,followers,followees,is_private,is_business_account
0,__tsailu__,414,724,True,False
1,azakmastone,855,3957,False,False
2,kaevalle,193,734,True,False
3,aja.yakumar,67,985,True,False
4,truly_precious.little_things,1,4,False,False
5,linglh999,212,700,True,False
6,cejuleste_,182,217,True,False
7,dorcasyoe,34,148,True,False
8,jenheng22,48,361,True,False
9,maryng1339,149,193,False,True
10,chriselizinwonderland,19,72,True,False
11,ferrytnw,11,34,True,False
12,csqshoppingspree,9,9,False,False
13,shawn_lee86,158,408,True,False
14,jasminetanch,45,164,True,False
15,piguyanggg,97,403,True,False
16,angelbella.co,3,104,True,False
17,crystal_shop_world,2346,6941,False,False
18,ms_alwayshungry_,318,879,False,False
19,mabel076,75,130,True,False
20,evelimoon,146,586,True,False
21,wholesale_polish_ston,1142,5312,False,True
22,ky_j0,194,509,True,False
23,jesse.cys,66,153,True,False
24,vvvalerietan,405,500,False,False
25,lorgeprado,127,279,True,False
26,sunshinemum65,0,3,True,False
27,2preciousbabies,62,1508,True,False
28,dearmegan_,635,793,True,False
29,cherriho,2133,1393,False,False
30,chibaoshuijiao,26,382,True,False
31,michyl85,289,3997,True,False
32,iiitsmandy94,1281,1247,False,False
33,glowplaylaugh.intrigue,128,380,True,False
34,ppeachycrystals,107,386,False,False
35,thisiscocosin,166,526,True,False
36,ummireenmutiara,260,1031,True,False
37,iam_marion263,2307,2846,False,True
38,ftflorence,28,310,True,False
39,littleblackdot30,417,693,True,False
40,dreamtthemyth,39,88,False,False
41,w_w_teo,122,232,True,False
42,fenny_chen,216,2803,True,False
43,raudah_mirza,87,1584,True,False
44,kas_thu,135,437,True,False
45,_shopwithme.t_,493,2855,True,False
46,chevgk,23,502,True,False
47,fionachor,8,65,True,False
48,wayoutan,114,299,True,False
49,kary_h,80,695,True,False
50,whimsical_luv,260,1109,True,False
51,sky73creations,2,53,True,False
52,anne_de_sagon_160207,53,301,True,False
53,pearlinmei,367,634,True,False
54,nik.e.1,0,644,True,False
55,geethaeddie,508,1393,True,False
56,cowsayzmoo,171,645,True,False
57,__aasteellaaaa,623,620,True,False
58,evontan5,44,2102,False,False
59,buffytheshihtzu,139,950,False,False
60,kaze_whyyoubuyagain,224,206,False,False
61,emiamy,589,908,True,False
62,raz_razianah,48,206,True,False
63,ionwisma,179,1225,False,False
64,ramonalrmf,201,583,True,False
65,frecks.js,36,161,False,False
66,pearlynnphanglj,41,321,True,False
67,meiliana.ha,413,581,True,False
68,natasha.gabriella,421,1687,True,False
69,sandyphung,124,203,True,False
70,marilynytng,94,105,True,False
71,jeannetteyasay_,40,141,True,False
72,lavrina,394,1198,True,False
73,dear.keizel,1012,561,False,False
74,mooshjuice,126,125,False,False
75,charcothepomsky,281,300,False,False
76,idaaatib,1023,1475,True,False
77,yipshaine,80,166,True,False
78,iona.chew,156,723,True,False
79,cat_ksy,248,263,True,False
80,magickalhues,23,83,False,True
81,gloomy.daze,3,261,True,False
82,_snowlady,36,108,False,False
83,shirlenetanhmua,1280,2169,False,False
84,kin_stay_calm,117,1175,True,False
85,myelyelm,299,473,True,False
86,yuweiiiiii,297,575,True,False
87,eiffets,7,39,True,False
88,edreaheexy,135,795,True,False
89,hello.daintyfleur,449,1244,True,False
90,aikodeb,13,25,True,False
91,sadunicornkandiez,1,39,False,True
92,tebbie3012,72,218,True,False
93,eileenhkx,463,1661,True,False
94,bandit.eyesfullofstars,38,460,True,False
95,rai.jais,189,260,False,False
96,meiziliew,259,640,True,False
97,immichiie,123,2096,True,False
98,kuro_nov_iamwhoiam,116,643,True,False
99,eatyogalove,26,744,True,False
100,brendaaalalala,397,364,False,False
101,rootbeerfloatt,502,947,True,False
102,louisavioletnarratives,738,453,False,True
103,pinkystars,172,366,True,False
104,hidarella,520,1205,True,False
105,acsqcywq,144,173,True,False
106,dreamy_snowball,70,123,True,False
107,kiasusoh,4,6,True,False
108,cassiie_fallenangell,502,572,True,False
109,marshymallows_gc,4,37,True,False
110,yvonne.2929,29,100,False,False
111,xuaniexuan,384,4270,True,False
112,xo.magnolia.ox,127,718,False,False
113,iamacandylover,131,811,True,False
114,lanweizi_catherine,253,1143,True,False
115,medicglo,141,885,True,False
116,sofa_blur,105,871,True,False
117,penny.ping.ping,190,613,True,False
118,phospholipidities,12,317,True,False
