,username,followers,followees,is_private,is_business_account
0,bulimicmind,879,3815,False,False
1,_roseblvck_,68,2041,True,False
2,agnestsj,152,160,False,False
3,daphnecddc,70,263,False,False
4,dorothyeoyo,9,42,True,False
5,melzlm,338,568,False,False
6,evelynchew24,83,250,True,False
7,elaine_iluvu,110,128,False,False
8,hulkcrystals,161,66,False,False
9,mrsamandarene,4960,6530,False,False
10,jclyuannn,1013,1280,False,False
11,zeemohd68,70,936,True,False
12,jimmy.chen.7509,55,140,False,False
13,tzekym,1325,915,False,False
14,gohshelly,39,145,True,False
15,alexascrystalss,173,439,False,True
16,gmineralinterprise,518,2493,False,True
17,michicrystals,187,232,False,True
18,carrieyp_moon,88,135,True,False
19,tinggwenn,1021,891,True,False
20,thecrystalshps,2256,3258,False,False
21,devilish_bash,19,222,True,False
22,platinum_flux,0,86,True,False
23,ycym76,113,142,True,False
24,themichelletang,886,784,False,False
25,property_of_crystalgems,1013,2179,False,True
26,subtlewows,13,49,False,False
27,charlotteyqh,1422,1344,False,True
28,charlenetanpua,183,641,True,False
29,jaynnice_thh,178,306,True,False
30,janielletyx,714,893,True,False
31,jynnjer,205,161,False,True
32,txmble_land,335,749,False,False
33,littlebeadoz.co,170,160,False,False
34,chochomunch,44,68,True,False
35,ofstarsandtears,0,332,True,False
36,adaywithtitania,21,69,False,False
37,kambababa,0,21,True,False
38,dilysious,282,291,True,False
39,rainbowtigerbb,33,28,True,False
40,clarice_kaylie_4ever,191,363,True,False
41,wickaids,3,21,False,True
42,cxlgemmies,60,108,False,False
43,feitan0104,1554,1684,False,False
44,magickalhues,27,99,False,True
45,scrollingigforhours,0,85,True,False
46,jlenngx,93,414,True,False
47,clouds_of_crystal,0,79,True,False
48,_jingting,783,1232,False,True
49,shln3yxh,404,839,True,False
50,antibacterial_febris,7,77,True,False
51,bekoljhonkok,17,33,False,True
52,stinaloveeee,584,2606,True,False
53,missing_shell,121,576,True,False
54,dannnsation_,343,488,True,False
55,qlyy.szd,359,401,False,False
56,kimz_buyz,44,50,False,False
57,dingkuey,318,572,True,False
58,kerrinesee,67,381,True,False
59,karima_manja,824,2619,False,False
60,dimplemomo,1937,4273,True,False
61,alyse.go.wonderland,141,163,False,False
62,the_zen_of_pisces,31,426,True,False
63,vivacrystals,170,35,False,True
64,sallytheduck_,17,79,False,False
65,c.heeeryl,359,510,False,False
66,wnd.123,480,1637,True,False
67,foong7171,134,1040,True,False
68,seah_si_hao,294,687,True,False
69,kissmefunnybunny,167,228,True,False
70,lynnserina,97,136,False,False
71,z.jbi,133,160,True,False
72,bewwypuddles,33,3192,True,False
73,shutupdino,62,207,True,False
74,csceleshellc,102,160,False,False
75,tingzachmikaybert,322,519,True,False
76,pearllfy,297,453,True,False
77,_.c_chloe,1695,2085,False,False
78,rene_debeaute,91,85,False,True
79,natxzil,30,53,True,False
80,hiroyuki17,67,170,False,False
81,__crystal_shop2022,102,2129,False,False
82,meraki.krystal,4,12,False,True
83,shihui07,228,615,True,False
84,istrishii,12,71,True,False
85,veronicaharianto23,108,416,True,False
86,roxyroz14,389,1806,True,False
87,eudodo._,146,246,True,False
88,vicksontoh,956,1068,True,False
89,zelle.wanderess,110,226,False,False
90,liminnnn,184,359,True,False
91,crystalcrowholesales,253,595,False,True
92,jenniferrose.crystalcollection,26,3206,True,False
93,dtan724,115,370,True,False
