,from,to
0,crystal_shop8686,triplegoddesss333
1,crystal_shop8686,senoriessa
2,crystal_shop8686,222nayzett
3,crystal_shop8686,yaniieeeee_
4,crystal_shop8686,cosmic.moonstone
5,crystal_shop8686,kv_crystalsandcrafts
6,crystal_shop8686,mysticalbymara
7,crystal_shop8686,rosecityquartz
8,crystal_shop8686,dreamydruzycrystalco
9,crystal_shop8686,danicaaleii
10,crystal_shop8686,heavenofcrystals
11,crystal_shop8686,freya.vdv
12,crystal_shop8686,scorpio._rising
13,crystal_shop8686,lamary_blablate
14,crystal_shop8686,haley_maubach
15,crystal_shop8686,dariaroschuk
16,crystal_shop8686,the_greatest_gift_is_2_love
17,crystal_shop8686,mattia_olivares02
18,crystal_shop8686,the_lotus_leaf_apothecary_ltd
19,crystal_shop8686,n_q_d
20,crystal_shop8686,xo_anaclaudia
21,crystal_shop8686,beautiful_mess1223
22,crystal_shop8686,brookedevinee
23,crystal_shop8686,nataliamnrz
24,crystal_shop8686,katiemaree44
25,crystal_shop8686,magicaboricua
26,crystal_shop8686,mazzyestella
27,crystal_shop8686,hunnycrystals
28,crystal_shop8686,lun4r0ck
29,crystal_shop8686,cryptoniina
30,crystal_shop8686,cenmb6
31,crystal_shop8686,frodolindholm
32,crystal_shop8686,emma_burton2809
33,crystal_shop8686,hippietrailcrystals
34,crystal_shop8686,lovemeforalways
35,crystal_shop8686,sarahchiaseeds
36,crystal_shop8686,ukcrystal_witch
37,crystal_shop8686,nami_ng.22
38,crystal_shop8686,galiahgems
39,crystal_shop8686,genmac2010
40,crystal_shop8686,__destinee__rae__
41,crystal_shop8686,kiss.my.ash.17
42,crystal_shop8686,amyr085
43,crystal_shop8686,alwayselevate
44,crystal_shop8686,littytrinty
45,crystal_shop8686,sinpaisam
46,crystal_shop8686,hadeshypnotiques
47,crystal_shop8686,stenarochmakrame
48,crystal_shop8686,ishtaryi
49,crystal_shop8686,alexandhiscrystals
50,crystal_shop8686,ashleys.crystal.destash
51,crystal_shop8686,pitagorica19
52,crystal_shop8686,crystal_newmoon
53,crystal_shop8686,hunting.gems88
54,crystal_shop8686,raisaloventa
55,crystal_shop8686,kirsties_hidden_gem
56,crystal_shop8686,_.lilbaby._27
57,crystal_shop8686,farbror.kristall
58,crystal_shop8686,manifest.that.energy
