username,rating,comment
s*****y,5,Gorgeous tanzanite pieces! Quality of the jewelry box is good too.
s*****8,5,Well received via my doorstep. Have been buying many bracelets from Jamstones. Beautiful bracelet love to Max especially the Fumao finally got it !! Product recommended. Will buy again if more unique designs . Thanks seller 👍🤩
n*****9,5,Received the bracelet within in 6 days. Love it. The colours are so beautiful. Love that I was able to change the charm.
s*****y,5,Gorgeous tanzanite pieces! Quality of the jewelry box is good too.
merielyng.salvador,5,"Super nice and elegant, worth it and very good idea as a gift to someone..."
l*****n,5,Love the rings. Been purchasing from them multiple times. This time i got a free pink jewellery box. Thank you!!
0*****c,5,Speedy n prompt delivery.Super love both bracelets.The fumao in white is super nice..didnt manage to bid the pink one previously but realise the white one suits me more..Thanks for seeing my bid for both bracelets esp the white fumao bracelet..love the combi for both🥰
cinowene,5,Had bought quite a few bracelets from Jamstones & Lavval...they are always super pretty! Do try it yourself!
merielyng.salvador,5,"Super nice and elegant, worth it and very good idea as a gift to someone..."
0*****c,5,Items are well received.Love the jewellery box and good to bring along for my staycation.
yixuanpenelope,5,Bought another 2 rings and 1 huggies because there is a free jewelry box! This box is good quality! Now my jewelry has a home of theirs!
n*****e,5,"soooo pretty! 2nd time getting a bracelet fm this store and transaction was extremely smooth as usual! seller is very accommodating and replies quickly as well, so glad i got the change the hardware to silver too. looking forward to my next purchase!"
evetoh88,5,"Nicely packed in boxes!! Tq seller for the hard work; free jewellery boxes and accommodating to my request~ ❤️❤️❤️
This is why I can’t stop buying. 
These pretty blings really capture my heart, True Gems ❣️
Delivery guy still text before sending the items. 👍🏻 
See u in the next live again~ 🥰💖❤️"
evetoh88,5,"Nicely packed in boxes!! Tq seller for the hard work; free jewellery boxes and accommodating to my request~ ❤️❤️❤️
This is why I can’t stop buying. 
These pretty blings really capture my heart, True Gems ❣️
Delivery guy still text before sending the items. 👍🏻 
See u in the next live again~ 🥰💖❤️"
evetoh88,5,"Nicely packed in boxes!! Tq seller for the hard work; free jewellery boxes and accommodating to my request~ ❤️❤️❤️
This is why I can’t stop buying. 
These pretty blings really capture my heart, True Gems ❣️
Delivery guy still text before sending the items. 👍🏻 
See u in the next live again~ 🥰💖❤️"
m*****7,5,I am in love with this fumao and the silver hardware match. Have added additional charms.
aileenlsp,5,"So pretty 
Fits well 
Loving it"
b*****o,5,"Happy with the items, well wrapped and fast delivery. Thankyou !"
vnsalee,5,Very lovely combination of crystals and colours. It’s my first bracelet by Jamstones and I love it!
lsserene,5,Thanks Jamstone for this pretty nude pink bracelet. I’m in love with it !!!!
___umi___,5,"Thank you for creating this beautiful  larimar, aquamarine, baroque pearl bracelet. ❤️❤️❤️"
caizienergy,5,"Delivery took 2-4 days, made it in time for cny. Beautiful ring 😊 ring came in a ring box and sealed in bubble wrap envelope. Repeated buy"
b*****o,5,Super happy with the items and was well packed and delivered. Thankyou !
m*****4,5,The rings are so pretty. Should have bought more. Oops. The free box are very handy too!
